__season_type,__team_id,__team_name,awayScore,clock,conference,gameId,gameSourceId,gameStartDate,gameType,homeScore,homeWinProbability,id,isHomeTeam,onFloor,onFloor[0].id,onFloor[0].name,onFloor[0].team,onFloor[10].id,onFloor[10].name,onFloor[10].team,onFloor[11].id,onFloor[11].name,onFloor[11].team,onFloor[12].id,onFloor[12].name,onFloor[12].team,onFloor[13].id,onFloor[13].name,onFloor[13].team,onFloor[14].id,onFloor[14].name,onFloor[14].team,onFloor[15].id,onFloor[15].name,onFloor[15].team,onFloor[16].id,onFloor[16].name,onFloor[16].team,onFloor[17].id,onFloor[17].name,onFloor[17].team,onFloor[18].id,onFloor[18].name,onFloor[18].team,onFloor[19].id,onFloor[19].name,onFloor[19].team,onFloor[1].id,onFloor[1].name,onFloor[1].team,onFloor[2].id,onFloor[2].name,onFloor[2].team,onFloor[3].id,onFloor[3].name,onFloor[3].team,onFloor[4].id,onFloor[4].name,onFloor[4].team,onFloor[5].id,onFloor[5].name,onFloor[5].team,onFloor[6].id,onFloor[6].name,onFloor[6].team,onFloor[7].id,onFloor[7].name,onFloor[7].team,onFloor[8].id,onFloor[8].name,onFloor[8].team,onFloor[9].id,onFloor[9].name,onFloor[9].team,opponent,opponentConference,opponentId,opponentSeed,participants,participants[0].id,participants[0].name,participants[1].id,participants[1].name,period,playText,playType,scoreValue,scoringPlay,season,seasonType,secondsRemaining,shootingPlay,shotInfo,shotInfo.assisted,shotInfo.assistedBy.id,shotInfo.assistedBy.name,shotInfo.location.x,shotInfo.location.y,shotInfo.made,shotInfo.range,shotInfo.shooter.id,shotInfo.shooter.name,sourceId,team,teamId,teamSeed,tournament,wallclock
unknown,361,Youngstown State,39,2:35,Horizon,210628,401817611,2026-01-08T00:15:00.000Z,STD,36,0.464,43620880,True,,3015,Darius Duffy,Purdue Fort Wayne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1669,Chris Morgan,Purdue Fort Wayne,1672,Mason Shrout,Purdue Fort Wayne,9610,Jason Nelson,Youngstown State,9613,Cris Carroll,Youngstown State,894,DeAndre Craig Jr.,Purdue Fort Wayne,4573,Vlad Salaridze,Youngstown State,203560,Cam Polak,Youngstown State,5112,Rich Rolf,Youngstown State,1667,Corey Hadnot II,Purdue Fort Wayne,Purdue Fort Wayne,Horizon,237,,,203560,Cam Polak,,,1,Cam Polak Offensive Rebound.,Offensive Rebound,0,False,2026,regular,155,False,,,,,,,,,,,401817611116932523,Youngstown State,361,,,2026-01-08T00:57:03.000Z
unknown,361,Youngstown State,39,2:35,Horizon,210628,401817611,2026-01-08T00:15:00.000Z,STD,38,0.552,43620900,True,,3015,Darius Duffy,Purdue Fort Wayne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1669,Chris Morgan,Purdue Fort Wayne,1672,Mason Shrout,Purdue Fort Wayne,9610,Jason Nelson,Youngstown State,9613,Cris Carroll,Youngstown State,894,DeAndre Craig Jr.,Purdue Fort Wayne,4573,Vlad Salaridze,Youngstown State,203560,Cam Polak,Youngstown State,5112,Rich Rolf,Youngstown State,1667,Corey Hadnot II,Purdue Fort Wayne,Purdue Fort Wayne,Horizon,237,,,203560,Cam Polak,,,1,Cam Polak makes free throw 2 of 2,MadeFreeThrow,1,True,2026,regular,155,True,,False,,,,,True,free_throw,203560,Cam Polak,401817611116932603,Youngstown State,361,,,2026-01-08T00:57:53.000Z
unknown,361,Youngstown State,39,2:35,Horizon,210628,401817611,2026-01-08T00:15:00.000Z,STD,37,0.464,43620898,False,,3015,Darius Duffy,Purdue Fort Wayne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1669,Chris Morgan,Purdue Fort Wayne,1672,Mason Shrout,Purdue Fort Wayne,9610,Jason Nelson,Youngstown State,9613,Cris Carroll,Youngstown State,894,DeAndre Craig Jr.,Purdue Fort Wayne,4573,Vlad Salaridze,Youngstown State,203560,Cam Polak,Youngstown State,5112,Rich Rolf,Youngstown State,1667,Corey Hadnot II,Purdue Fort Wayne,Youngstown State,Horizon,361,,,1665,Deangelo Elisee,,,1,Deangelo Elisee subbing in for Purdue Fort Wayne,Substitution,0,False,2026,regular,155,False,,,,,,,,,,,401817611116932587,Purdue Fort Wayne,237,,,2026-01-08T00:57:41.000Z
unknown,361,Youngstown State,39,2:35,Horizon,210628,401817611,2026-01-08T00:15:00.000Z,STD,37,0.464,43620896,False,,3015,Darius Duffy,Purdue Fort Wayne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1669,Chris Morgan,Purdue Fort Wayne,1672,Mason Shrout,Purdue Fort Wayne,9610,Jason Nelson,Youngstown State,9613,Cris Carroll,Youngstown State,894,DeAndre Craig Jr.,Purdue Fort Wayne,4573,Vlad Salaridze,Youngstown State,203560,Cam Polak,Youngstown State,5112,Rich Rolf,Youngstown State,1667,Corey Hadnot II,Purdue Fort Wayne,Youngstown State,Horizon,361,,,3015,Darius Duffy,,,1,Darius Duffy subbing out for Purdue Fort Wayne,Substitution,0,False,2026,regular,155,False,,,,,,,,,,,401817611116932584,Purdue Fort Wayne,237,,,2026-01-08T00:57:41.000Z
unknown,361,Youngstown State,39,2:35,Horizon,210628,401817611,2026-01-08T00:15:00.000Z,STD,37,0.464,43620895,False,,3015,Darius Duffy,Purdue Fort Wayne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1669,Chris Morgan,Purdue Fort Wayne,1672,Mason Shrout,Purdue Fort Wayne,9610,Jason Nelson,Youngstown State,9613,Cris Carroll,Youngstown State,894,DeAndre Craig Jr.,Purdue Fort Wayne,4573,Vlad Salaridze,Youngstown State,203560,Cam Polak,Youngstown State,5112,Rich Rolf,Youngstown State,1667,Corey Hadnot II,Purdue Fort Wayne,Youngstown State,Horizon,361,,,6203,Mikale Stevenson,,,1,Mikale Stevenson subbing in for Purdue Fort Wayne,Substitution,0,False,2026,regular,155,False,,,,,,,,,,,401817611116932583,Purdue Fort Wayne,237,,,2026-01-08T00:57:36.000Z
unknown,361,Youngstown State,39,2:35,Horizon,210628,401817611,2026-01-08T00:15:00.000Z,STD,37,0.464,43620893,False,,3015,Darius Duffy,Purdue Fort Wayne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1669,Chris Morgan,Purdue Fort Wayne,1672,Mason Shrout,Purdue Fort Wayne,9610,Jason Nelson,Youngstown State,9613,Cris Carroll,Youngstown State,894,DeAndre Craig Jr.,Purdue Fort Wayne,4573,Vlad Salaridze,Youngstown State,203560,Cam Polak,Youngstown State,5112,Rich Rolf,Youngstown State,1667,Corey Hadnot II,Purdue Fort Wayne,Youngstown State,Horizon,361,,,894,DeAndre Craig Jr.,,,1,DeAndre Craig Jr. subbing out for Purdue Fort Wayne,Substitution,0,False,2026,regular,155,False,,,,,,,,,,,401817611116932581,Purdue Fort Wayne,237,,,2026-01-08T00:57:36.000Z
unknown,361,Youngstown State,39,2:35,Horizon,210628,401817611,2026-01-08T00:15:00.000Z,STD,37,0.464,43620890,True,,3015,Darius Duffy,Purdue Fort Wayne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1669,Chris Morgan,Purdue Fort Wayne,1672,Mason Shrout,Purdue Fort Wayne,9610,Jason Nelson,Youngstown State,9613,Cris Carroll,Youngstown State,894,DeAndre Craig Jr.,Purdue Fort Wayne,4573,Vlad Salaridze,Youngstown State,203560,Cam Polak,Youngstown State,5112,Rich Rolf,Youngstown State,1667,Corey Hadnot II,Purdue Fort Wayne,Purdue Fort Wayne,Horizon,237,,,9620,Imanuel Zorgvol,,,1,Imanuel Zorgvol subbing in for Youngstown State,Substitution,0,False,2026,regular,155,False,,,,,,,,,,,401817611116932579,Youngstown State,361,,,2026-01-08T00:57:36.000Z
unknown,361,Youngstown State,39,2:35,Horizon,210628,401817611,2026-01-08T00:15:00.000Z,STD,36,0.464,43620884,False,,3015,Darius Duffy,Purdue Fort Wayne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1669,Chris Morgan,Purdue Fort Wayne,1672,Mason Shrout,Purdue Fort Wayne,9610,Jason Nelson,Youngstown State,9613,Cris Carroll,Youngstown State,894,DeAndre Craig Jr.,Purdue Fort Wayne,4573,Vlad Salaridze,Youngstown State,203560,Cam Polak,Youngstown State,5112,Rich Rolf,Youngstown State,1667,Corey Hadnot II,Purdue Fort Wayne,Youngstown State,Horizon,361,,,894,DeAndre Craig Jr.,,,1,Foul on DeAndre Craig Jr..,PersonalFoul,0,False,2026,regular,155,False,,,,,,,,,,,401817611116932538,Purdue Fort Wayne,237,,,2026-01-08T00:57:06.000Z
unknown,361,Youngstown State,39,2:35,Horizon,210628,401817611,2026-01-08T00:15:00.000Z,STD,37,0.464,43620888,True,,3015,Darius Duffy,Purdue Fort Wayne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1669,Chris Morgan,Purdue Fort Wayne,1672,Mason Shrout,Purdue Fort Wayne,9610,Jason Nelson,Youngstown State,9613,Cris Carroll,Youngstown State,894,DeAndre Craig Jr.,Purdue Fort Wayne,4573,Vlad Salaridze,Youngstown State,203560,Cam Polak,Youngstown State,5112,Rich Rolf,Youngstown State,1667,Corey Hadnot II,Purdue Fort Wayne,Purdue Fort Wayne,Horizon,237,,,4573,Vlad Salaridze,,,1,Vlad Salaridze subbing out for Youngstown State,Substitution,0,False,2026,regular,155,False,,,,,,,,,,,401817611116932576,Youngstown State,361,,,2026-01-08T00:57:36.000Z
unknown,361,Youngstown State,39,2:26,Horizon,210628,401817611,2026-01-08T00:15:00.000Z,STD,38,0.554,43620902,False,,1669,Chris Morgan,Purdue Fort Wayne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1672,Mason Shrout,Purdue Fort Wayne,9610,Jason Nelson,Youngstown State,9620,Imanuel Zorgvol,Youngstown State,9613,Cris Carroll,Youngstown State,203560,Cam Polak,Youngstown State,1665,Deangelo Elisee,Purdue Fort Wayne,5112,Rich Rolf,Youngstown State,6203,Mikale Stevenson,Purdue Fort Wayne,1667,Corey Hadnot II,Purdue Fort Wayne,Youngstown State,Horizon,361,,,1669,Chris Morgan,,,1,Chris Morgan misses 24-foot three point jumper,JumpShot,3,False,2026,regular,146,True,,False,,,122.2,480,False,three_pointer,1669,Chris Morgan,401817611116932667,Purdue Fort Wayne,237,,,2026-01-08T00:58:08.000Z
