conference,team_id,team_name
MAAC,264,Siena
SEC,87,Florida
Big Ten,124,Iowa
Sun Belt,148,Louisiana
Big Ten,236,Purdue
MVC,29,Bradley
Big 12,125,Iowa State
Mountain West,189,Nevada
Big West,308,UC Irvine
Big West,311,UC Santa Barbara
Mountain West,57,Colorado State
Big Ten,313,UCLA
WCC,253,Saint Mary's
ACC,40,California
WCC,258,San Diego
WCC,224,Oregon State
Horizon,105,Green Bay
Big West,145,Long Beach State
Big West,108,Hawai'i
WCC,225,Pacific
SEC,136,LSU
Big West,38,Cal State Northridge
Horizon,237,Purdue Fort Wayne
Big Ten,343,Washington
WCC,259,San Francisco
Big West,35,Cal Poly
ACC,281,Stanford
Big 12,10,Arizona State
Summit,68,Denver
Big Ten,355,Wisconsin
Mountain West,92,Fresno State
ACC,185,NC State
WCC,228,Pepperdine
Big 12,11,Arizona
CAA,205,Northeastern
American,163,Memphis
Big East,97,Georgetown
Big East,263,Seton Hall
MVC,315,UIC
Southland,139,Lamar
CUSA,171,Middle Tennessee
Ivy,227,Pennsylvania
Ivy,234,Princeton
Big South,239,Radford
American,241,Rice
CAA,71,Drexel
CAA,41,Campbell
MAAC,238,Quinnipiac
ASUN,43,Central Arkansas
Patriot,8,American University
ACC,52,Clemson
Ivy,60,Cornell
ACC,72,Duke
ASUN,78,Eastern Kentucky
MAAC,250,Sacred Heart
OVC,272,Southeast Missouri State
Big Ten,323,USC
OVC,247,SIU Edwardsville
Horizon,210,Northern Kentucky
Big South,354,Winthrop
Ivy,360,Yale
Am. East,24,Binghamton
SEC,5,Alabama
Southland,193,New Orleans
ACC,339,Virginia
SWAC,103,Grambling
Big Sky,116,Idaho State
MVC,119,Illinois State
A-10,151,Loyola Chicago
MAAC,156,Marist
Sun Belt,158,Marshall
Am. East,190,New Hampshire
CUSA,192,New Mexico State
American,204,North Texas
Southland,211,Northwestern State
Sun Belt,219,Old Dominion
Big Ten,226,Penn State
MAAC,243,Rider
SWAC,126,Jackson State
A-10,252,Saint Louis
MVC,209,Northern Iowa
Summit,201,North Dakota
NEC,50,Chicago State
ACC,90,Florida State
SEC,16,Auburn
CAA,46,Charleston
Big East,314,UConn
MEAC,67,Delaware State
A-10,73,Duquesne
Big Sky,80,Eastern Washington
WAC,276,Southern Utah
ACC,248,SMU
SEC,266,South Carolina
MAAC,254,Saint Peter's
ACC,286,Syracuse
WCC,262,Seattle U
CUSA,176,Missouri State
Big East,338,Villanova
SoCon,334,VMI
CUSA,350,Western Kentucky
MAC,351,Western Michigan
Big East,359,Xavier
SoCon,164,Mercer
Am. East,306,UAlbany
Big Ten,223,Oregon
MEAC,114,Howard
WCC,102,Gonzaga
CUSA,149,Louisiana Tech
Horizon,172,Milwaukee
MAC,161,Massachusetts
ACC,168,Miami
Big Ten,170,Michigan
Big Ten,169,Michigan State
SWAC,175,Mississippi Valley State
MEAC,196,Norfolk State
Big Ten,212,Northwestern
SEC,217,Oklahoma
Big 12,218,Oklahoma State
Summit,222,Oral Roberts
ASUN,127,Jacksonville
Big Sky,179,Montana
Patriot,27,Boston University
MAAC,123,Iona
Ivy,58,Columbia
Big West,37,Cal State Fullerton
Ivy,62,Dartmouth
Horizon,69,Detroit Mercy
A-10,91,Fordham
Big Ten,245,Rutgers
Sun Belt,275,Southern Miss
Sun Belt,297,Texas State
Patriot,111,Holy Cross
Big Ten,216,Ohio State
WCC,261,Santa Clara
American,289,Temple
Southland,112,Houston Christian
