year,pid,player,team,rim_made,rim_miss,rim_assisted,mid_made,mid_miss,mid_assisted,three_made,three_miss,three_assisted,dunks_made,dunks_miss,dunks_assisted
2010,3,Pooh Williams,Utah St.,48,27,16,22,37,10,36,64,35,6,1,5
2010,11,Nick Rodgers,Butler,0,0,0,0,1,0,2,1,2,0,0,0
2010,13,Dana Smith,Longwood,82,52,37,44,83,19,33,58,30,3,1,2
2010,32,Carlos Strong,Boston University,47,31,18,19,39,2,59,66,42,13,2,8
2010,33,Sherrod Smith,Boston University,1,6,0,0,3,0,0,2,0,0,0,0
2010,34,Eulis Stephens,Detroit Mercy,27,13,15,6,8,3,4,18,4,4,1,3
2010,37,Brett Gifford,Albany,16,5,12,13,27,12,0,1,0,0,0,0
2010,38,Valdas Sirutis,Boston University,9,9,7,4,9,3,7,22,7,0,0,0
2010,39,Corey Lowe,Boston University,39,37,3,45,83,5,75,145,40,0,1,0
2010,41,Grant Leiendecker,Butler,1,0,1,0,2,0,3,8,3,0,0,0
2010,43,Patrick Bouli,Manhattan,6,8,2,10,18,5,28,53,22,0,0,0
2010,45,Antoine Pearson,Manhattan,49,44,4,15,42,1,15,37,12,0,0,0
2010,47,Chris Harris,Navy,59,74,13,36,86,10,88,169,78,0,0,0
2010,49,T.J. Topercer,Navy,15,3,10,0,6,0,8,36,8,0,0,0
2010,51,Brandon Adams,Manhattan,41,46,18,23,37,11,1,1,1,7,2,7
2010,52,Darryl Crawford,Manhattan,81,55,15,55,113,16,21,55,17,5,0,2
2010,55,Jabari Deshields,Alabama A&M,5,19,1,7,26,1,6,15,6,0,0,0
2010,57,Charles Jenkins,Hofstra,86,47,26,78,149,21,59,87,54,2,0,1
2010,60,Pierre Curtis,James Madison,38,23,4,19,45,2,19,41,17,0,0,0
2010,61,Greg Washington,Hofstra,35,14,20,51,92,45,0,1,0,14,4,12
2010,62,Matt Parker,James Madison,6,2,3,2,8,0,20,42,20,1,0,0
2010,72,Evan Neisler,Drexel,44,20,27,9,14,7,0,0,0,15,0,10
2010,79,Moussa Camara,Binghamton,43,20,19,13,44,6,43,92,37,6,0,5
2010,82,Otis Polk,Bowling Green,100,71,60,13,40,6,0,0,0,13,2,11
2010,84,Marc Larson,Bowling Green,43,32,24,19,34,18,0,0,0,4,0,2
2010,86,Landon Milbourne,Maryland,78,46,52,73,97,54,13,24,13,12,2,10
2010,87,Eric Hayes,Maryland,29,16,17,36,36,9,61,74,54,0,0,0
2010,91,Vernon Macklin,Florida,121,43,74,35,58,14,0,0,0,42,3,30
2010,92,Levi Knutson,Colorado,8,5,4,2,11,1,9,16,9,0,0,0
2010,100,Frank Hassell,Old Dominion,98,35,57,36,79,15,0,0,0,9,1,7
2010,104,Kevin White,Maryland Eastern Shore,45,36,6,47,92,9,19,53,16,0,0,0
2010,113,Sean Carter,Massachusetts,59,57,32,0,6,0,0,0,0,26,9,18
2010,114,Carlton Fay,Southern Illinois,19,8,16,64,53,33,42,68,39,0,0,0
2010,117,Paul Campbell,Hawaii,32,7,21,24,31,5,0,0,0,19,2,14
2010,118,Adhar Mayen,Hawaii,8,5,7,41,39,29,23,52,22,1,0,1
2010,123,Zach Hahn,Butler,4,4,3,9,8,0,45,66,40,0,0,0
2010,124,Matt Howard,Butler,94,64,69,31,59,16,3,8,3,17,2,16
2010,125,Shawn Vanzant,Butler,7,9,1,6,12,0,14,32,11,0,0,0
2010,128,Tunde Agboola,Boston University,3,2,2,1,2,0,1,1,1,0,0,0
2010,145,George Barbour,Monmouth,6,3,4,1,8,0,0,0,0,2,0,2
2010,146,James Hett,Monmouth,25,21,9,7,17,3,15,47,12,0,0,0
2010,148,Thomas Coleman,North Carolina A&T,91,50,52,12,36,4,0,2,0,32,1,27
2010,150,Kyle Riley,Howard,37,27,19,11,17,2,6,46,6,2,1,1
2010,152,Justin Nabors,Lamar,101,52,52,38,77,22,6,15,6,8,1,6
2010,154,Noah States,Furman,10,6,6,8,23,1,7,13,7,3,1,2
2010,155,Adam Walker,Howard,23,16,7,21,55,5,2,5,2,0,0,0
2010,157,Jihad Ali,Georgia St.,17,10,7,23,34,15,25,45,24,1,0,0
2010,161,Jay Threatt,Delaware St.,19,11,6,30,48,4,21,60,14,0,0,0
2010,162,Isaiah Tate,George Mason,17,11,11,6,21,3,23,46,20,1,0,1
2010,163,Vlad Moldoveanu,American,48,22,26,30,55,15,48,76,46,0,0,0
2010,164,Tyren Johnson,Louisiana,91,28,42,76,119,25,29,53,21,28,2,22
2010,180,Pawel Buczak,Princeton,39,36,13,7,23,2,10,15,10,1,0,0
2010,184,Calvin Baker,Virginia,8,7,4,13,30,3,8,26,7,0,0,0
2010,185,Yaniv Simpson,Monmouth,0,0,0,0,0,0,0,6,0,0,0,0
2010,186,Ousman Krubally,Georgia St.,57,39,26,16,22,10,0,0,0,0,0,0
2010,188,Howard Crawford,UAB,76,39,46,57,100,32,10,22,10,27,4,24
2010,193,Ryan Reid,Florida St.,45,26,24,37,59,23,0,0,0,5,0,3
2010,197,Kyle Singler,Duke,67,34,30,76,160,22,85,128,82,4,1,4
2010,198,Nolan Smith,Duke,95,60,35,84,147,17,60,94,50,10,4,4
2010,200,Taylor King,Villanova,29,24,25,14,20,6,40,70,38,5,1,5
2010,201,E'Twaun Moore,Purdue,42,21,18,119,148,27,51,95,44,6,1,5
2010,203,JaJuan Johnson,Purdue,49,24,37,143,159,106,0,4,0,30,1,27
2010,209,Tim Abromaitis,Notre Dame,76,42,48,26,34,12,81,109,78,25,1,20
2010,210,Tyrone Nash,Notre Dame,78,52,55,18,29,14,0,0,0,9,2,9
2010,211,Junior Salters,Wofford,14,17,5,9,33,4,66,111,56,0,1,0
2010,212,Jerome Randle,California,59,31,14,55,79,4,87,132,54,0,0,0
2010,218,Tim Johnson,Wofford,70,71,22,16,42,3,0,0,0,9,1,7
2010,220,Corey Godzinski,Wofford,18,11,10,7,12,2,13,45,13,1,0,1
2010,230,Ryann Abraham,Appalachian St.,22,17,2,12,20,5,23,40,14,0,0,0
2010,231,Robo Kreps,Illinois Chicago,42,40,11,40,82,18,54,127,38,0,0,0
2010,232,Peter Sullivan,Brown,52,36,26,18,40,6,34,59,31,0,0,0
2010,235,Matt Mullery,Brown,136,86,59,12,21,4,8,26,7,1,0,1
2010,238,Andrew Fleming,Long Beach St.,12,1,9,5,9,4,0,0,0,3,0,2
2010,243,Eugene Harvey,Seton Hall,78,56,25,3,10,0,10,19,4,0,0,0
2010,248,L.D. Williams,Wake Forest,64,28,36,30,56,14,6,31,6,22,0,16
2010,262,D.J. Gay,San Diego St.,13,12,3,30,70,0,59,93,36,0,0,0
2010,263,Zavier Anderson,Clemson,2,1,1,0,2,0,0,0,0,0,0,0
2010,266,Adam Carp,Nevada,1,4,0,0,0,0,0,1,0,0,0,0
2010,269,Dante Jackson,Xavier,11,10,1,6,18,2,57,85,50,1,0,0
2010,273,Justin Rutty,Quinnipiac,166,116,80,39,57,16,0,0,0,14,1,12
2010,276,Dante Curry,Georgia St.,2,2,1,3,9,1,11,29,11,0,0,0
2010,280,Keaton Belcher,Belmont,42,16,27,14,14,5,48,101,47,10,0,9
2010,284,Graeme Radford,Stetson,12,12,9,2,14,0,0,0,0,4,0,4
2010,306,Grant Maxey,Jackson St.,3,3,0,3,3,0,0,2,0,0,0,0
2010,307,Jason Averkamp,Milwaukee,36,8,22,12,23,6,11,28,11,0,0,0
2010,312,Woody Payne,Detroit Mercy,44,26,6,8,31,3,5,14,5,2,0,0
2010,318,Julius Thomas,Portland St.,83,30,49,48,32,21,0,1,0,20,2,19
2010,319,Zahir Carrington,Lehigh,95,43,55,37,80,19,0,1,0,30,1,23
2010,320,Marquis Hall,Lehigh,24,21,6,39,84,6,55,93,43,1,0,1
2010,321,Ernest Fields,Austin Peay,10,6,5,1,5,1,0,0,0,0,0,0
2010,323,Duran Roberson,Austin Peay,21,9,13,45,40,33,5,16,5,4,1,4
2010,325,Romain Martin,Eastern Illinois,1,4,1,1,2,0,8,16,8,0,0,0
2010,328,Matt Shamis,Lehigh,1,2,0,1,3,0,4,2,4,0,0,0
2010,329,Scott Brooks,Navy,0,2,0,1,3,0,0,0,0,0,0,0
2010,330,James Spencer,Liberty,1,1,0,0,0,0,0,3,0,0,0,0
2010,331,Jeremy Evans,Western Kentucky,113,26,66,21,39,12,3,9,3,61,3,41
2010,332,Amorrow Morgan,Idaho St.,53,40,12,63,89,13,29,46,23,2,1,0
2010,333,Donnie Carson,Idaho St.,19,17,2,32,66,6,1,8,1,5,0,0
2010,334,Kenneth van Kempen,Ohio,31,19,25,77,102,66,0,5,0,0,0,0
