season_year,file,rows_including_header,status
2011,/Users/henryhalverson/Documents/New project/player_cards_pipeline/data/manual/pbp_metrics/2011/pbp_player_metrics_2011.csv,1,header_only
2012,/Users/henryhalverson/Documents/New project/player_cards_pipeline/data/manual/pbp_metrics/2012/pbp_player_metrics_2012.csv,1,header_only
2013,/Users/henryhalverson/Documents/New project/player_cards_pipeline/data/manual/pbp_metrics/2013/pbp_player_metrics_2013.csv,1,header_only
2014,/Users/henryhalverson/Documents/New project/player_cards_pipeline/data/manual/pbp_metrics/2014/pbp_player_metrics_2014.csv,1,header_only
2015,/Users/henryhalverson/Documents/New project/player_cards_pipeline/data/manual/pbp_metrics/2015/pbp_player_metrics_2015.csv,1,header_only
2016,/Users/henryhalverson/Documents/New project/player_cards_pipeline/data/manual/pbp_metrics/2016/pbp_player_metrics_2016.csv,1,header_only
2017,/Users/henryhalverson/Documents/New project/player_cards_pipeline/data/manual/pbp_metrics/2017/pbp_player_metrics_2017.csv,1,header_only
2018,/Users/henryhalverson/Documents/New project/player_cards_pipeline/data/manual/pbp_metrics/2018/pbp_player_metrics_2018.csv,1,header_only
2019,/Users/henryhalverson/Documents/New project/player_cards_pipeline/data/manual/pbp_metrics/2019/pbp_player_metrics_2019.csv,1,header_only
2020,/Users/henryhalverson/Documents/New project/player_cards_pipeline/data/manual/pbp_metrics/2020/pbp_player_metrics_2020.csv,1,header_only
2021,/Users/henryhalverson/Documents/New project/player_cards_pipeline/data/manual/pbp_metrics/2021/pbp_player_metrics_2021.csv,1,header_only
2022,/Users/henryhalverson/Documents/New project/player_cards_pipeline/data/manual/pbp_metrics/2022/pbp_player_metrics_2022.csv,1,header_only
2023,/Users/henryhalverson/Documents/New project/player_cards_pipeline/data/manual/pbp_metrics/2023/pbp_player_metrics_2023.csv,9811,usable
2024,/Users/henryhalverson/Documents/New project/player_cards_pipeline/data/manual/pbp_metrics/2024/pbp_player_metrics_2024.csv,10002,usable
2025,/Users/henryhalverson/Documents/New project/player_cards_pipeline/data/manual/pbp_metrics/2025/pbp_player_metrics_2025.csv,9615,usable
