player_name,team,year,unassisted_dunks_100,unassisted_rim_makes_100,unassisted_mid_makes_100,unassisted_3pm_100,unassisted_points_100
Andrey Semenov,James Madison,2014,0.000000,1.912287,1.223864,0.229474,6.960726
Fred Gulley III,Arkansas,2014,0.087964,1.407416,0.527781,0.087964,4.134285
Ben Mockford,St. Francis NY,2014,0.000000,0.755747,0.961860,1.374086,7.557471
Mike Felt,North Dakota St.,2014,0.000000,0.000000,0.152521,0.305042,1.220169
Montez Blair,Cornell,2014,0.000000,0.000000,0.000000,0.000000,0.000000
Reggie Groves,North Carolina Central,2014,0.000000,0.451695,0.338772,0.903391,4.291106
Raymone Andrews,Stetson,2014,0.000000,1.160881,1.160881,0.507885,6.167179
Candon Rusin,Vermont,2014,0.000000,0.856689,1.323974,0.389404,5.529539
Alzee Williams,North Texas,2014,0.000000,3.020822,2.349528,0.000000,10.740700
Nick Russell,SMU,2014,0.100026,1.200308,1.450372,0.100026,5.601438
Tim Frazier,Penn St.,2014,0.050481,2.776451,3.079337,0.656252,13.680332
Bill Edwards,Miami OH,2014,0.000000,2.128784,2.128784,0.266098,9.313430
Brian Oliver,Seton Hall,2014,0.000000,0.492831,0.633640,0.492831,3.731433
Tyler Stone,Southeast Missouri St.,2014,0.228046,2.280460,1.995402,0.171034,9.064827
Will Felder,Miami OH,2014,0.248313,1.862345,1.986502,0.000000,7.697695
Murphy Burnatowski,Colgate,2014,0.269789,2.158312,2.023417,0.472131,9.779850
Ryan Sypkens,UC Davis,2014,0.000000,0.447041,0.745068,1.117602,5.737026
Leslie McDonald,North Carolina,2014,0.000000,0.499491,0.665988,0.332994,3.329942
Scooter Gillette,Fairleigh Dickinson,2014,0.590384,4.034293,0.393590,0.000000,8.855766
Nikola Cerina,Northwestern,2014,0.000000,0.912072,0.228018,0.000000,2.280180
Justin Cobbs,California,2014,0.198670,3.079385,2.880715,0.447008,13.261223
Christian Salecich,SIU Edwardsville,2014,0.000000,0.946000,0.774000,0.430000,4.730000
Coron Williams,Wake Forest,2014,0.000000,0.775744,1.339921,0.493655,5.712295
Quincy Diggs,Akron,2014,0.060654,2.486804,2.365496,1.758959,14.981476
Chris Fouch,Drexel,2014,0.000000,2.078953,2.969932,0.593986,11.879730
Chris Harriel,UC Riverside,2014,0.296913,1.633023,0.593826,0.296913,5.344438
Ebuka Anyaorah,North Carolina Central,2014,0.000000,1.771718,0.590573,0.000000,4.724582
Chris Dixon,UNC Wilmington,2014,0.000000,2.429641,1.909004,0.780956,11.020157
Ja'Rob McCallum,IU Indy,2014,0.000000,2.396615,1.960867,0.653622,10.675830
Karl Moton,UAB,2014,0.000000,0.000000,0.000000,0.000000,0.000000
Ovie Soko,Duquesne,2014,0.498571,3.178390,1.495713,0.124643,9.722134
Sam Prescott,Mount St. Mary's,2014,0.000000,2.398479,1.338686,0.446229,8.813016
Brett Roseboro,UMBC,2014,0.000000,1.997715,0.799086,0.000000,5.593602
Chad White,South Dakota St.,2014,0.000000,0.738471,0.335669,0.335669,3.155286
Chris Eversley,Cal Poly,2014,0.196167,2.092445,2.550167,0.130778,9.677558
