player_name,team,conf,GP,Min_per,ORtg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FTM,FTA,FT_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,yr,ht,num,porpag,adjoe,pfr,year,pid,type,Rec Rank,ast/tov,rimmade,rimmade+rimmiss,midmade,midmade+midmiss,rimmade/(rimmade+rimmiss),midmade/(midmade+midmiss),dunksmade,dunksmiss+dunksmade,dunksmade/(dunksmade+dunksmiss),pick,drtg,adrtg,dporpag,stops,bpm,obpm,dbpm,gbpm,mp,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts,role,3p/100?,dob,trank_year
Antwann Jones,UNC Greensboro,SC,6,4.6,75.2,19.2,37.5,38.35,7.8,18,6.2,25.7,1,2,0.5,3,10,0.3,2,6,0.333,2.1,2,12.5,Sr,6-6,0,-0.646416,73.0091,4.1,2026,65925,"Orlando, FL",79.0,0.50005835,2,5,1,5,0.4000,0.2000,0,0,,,115.683,115.252,0.638284,10.8614,-9.16133,-7.24785,-1.91348,-8.87657,11.4857,-5.79696,-3.07962,0.5714,1.5714,2.1429,0.4286,0.2857,0.1429,3.4286,Wing F,5.8505,1999-05-29,2026
Elijah Elliott,New Mexico St.,CUSA,29,46.9,101.6,26.7,41.9,47.79,1.8,10,25.8,14.9,63,81,0.778,40,111,0.36,35,110,0.318,1.1,2.2,36.7,Sr,6-1,11,1.09279,109.119,3.1,2026,67572,"Houston, TX",,1.73166481,16,34,24,77,0.4706,0.3117,0,0,,,109.822,110.448,1.55731,88.5456,-1.04034,0.334102,-1.37444,0.00125284,18.6323,0.65133,-0.650077,0.2903,1.6452,1.9355,2.2903,0.7419,0.1613,8.2581,Scoring PG,11.8498,1999-10-15,2026
Doctor Bradley,Bethune Cookman,SWAC,8,14,103.4,30,55.2,54.04,8.7,29.3,28,17,21,44,0.477,34,60,0.567,2,7,0.286,5.1,3.2,65.7,Sr,6-8,13,1.25452,109.01,3.9,2026,70326,"Los Angeles, CA",,1.37500000,32,51,2,9,0.6275,0.2222,5,7,0.7143,,97.5289,106.186,2.12041,46.4699,5.51541,0.757256,4.75816,5.70793,22.0375,1.74065,3.96728,1.6250,5.8750,7.5000,2.7500,1.2500,1.1250,11.8750,PF/C,2.23708,2000-10-15,2026
Rahmir Moore,Delaware St.,MEAC,21,41.8,97.9,18,42.2,49.77,4.9,10.6,9.8,16,42,56,0.75,21,52,0.404,15,51,0.294,0.3,1.5,54.4,Sr,6-2,0,-0.126186,90.5983,2.6,2026,70501,"Philadelphia, PA",,1.18181814,13,27,8,25,0.4815,0.3200,1,1,1.0000,,111.016,118.663,1.13109,61.1641,-5.21093,-3.12008,-2.09085,-4.97099,20.6880,-2.88698,-2.08401,1.0400,1.5600,2.6000,1.0400,0.4800,0.0400,6.3200,Wing G,6.99188,2000-07-26,2026
Alex Hemenway,Evansville,MVC,30,65.8,93.4,14.3,43.3,46.48,1.2,7.7,6.3,9.9,27,33,0.818,13,38,0.342,47,155,0.303,0.5,0.9,17.1,Sr,6-4,12,-0.364821,88.3558,2.5,2026,70621,"Newburgh, IN",24.0,1.42101717,9,22,4,16,0.4091,0.2500,1,1,1.0000,,120.301,118.927,1.40915,102.864,-4.4029,-1.50544,-2.89746,-4.98664,25.8969,-2.79074,-2.1959,0.3125,1.6250,1.9375,0.8438,0.3750,0.0938,6.7188,Combo G,11.5599,2001-06-17,2026
Addison Patterson,Eastern Michigan,MAC,30,74.8,109.6,23.5,59.1,60.62,5.1,14.7,18.9,19.7,48,67,0.716,152,238,0.639,20,70,0.286,1.2,2.2,21.8,Sr,6-7,9,2.15951,113.152,3.6,2026,70754,"Mississauga, Canada",,1.14085497,121,170,31,68,0.7118,0.4559,28,30,0.9333,,107.198,106.979,2.84099,162.41,1.97009,0.868719,1.10137,2.20993,29.7258,1.26975,0.94018,1.3871,3.9355,5.3226,2.6129,1.0968,0.3226,13.7097,Wing G,4.54603,2001-06-09,2026
Rienk Mast,Nebraska,B10,30,69.2,112,26.2,51.5,54.89,9.3,14.1,19.8,14,63,77,0.818,107,199,0.538,44,137,0.321,1.3,0.9,22.9,Sr,6-10,51,3.18896,124.491,2.4,2026,70772,"Groningen, Netherlands",,1.64147849,64,93,43,106,0.6882,0.4057,2,2,1.0000,,100.562,94.7672,3.92696,145.229,5.2787,2.82103,2.45766,4.72819,28.8300,3.08656,1.64163,2.2333,3.6667,5.9000,2.9000,0.4333,0.2667,13.6333,Stretch 4,9.44407,2001-07-19,2026
Rick Issanza,Loyola Marymount,WCC,29,37.9,104.9,10.2,65.3,58.41,9.5,14.5,2.9,22.9,11,32,0.344,32,48,0.667,0,1,0,9.6,1.1,65.3,Sr,7-1,22,-0.00693419,92.2249,5,2026,70789,"Kinshasa, Congo, the Democratic Republic of the",1.8,0.42112742,28,38,4,10,0.7368,0.4000,21,24,0.8750,,103.341,101.686,1.83599,92.9374,2.58652,-3.02069,5.60722,0.167112,16.2500,-3.30609,3.4732,1.3000,2.0667,3.3667,0.2667,0.3333,1.4333,2.6333,C,0.123106,2000-10-15,2026
Steele Venters,Gonzaga,WCC,27,30.7,113.2,15.1,54.4,55.97,1.4,7.9,9.9,15.7,10,12,0.833,8,16,0.5,36,98,0.367,0.6,2.4,10.5,Sr,6-7,2,0.813205,107.978,3.3,2026,70941,"Ellensburg, WA",,1.64707745,6,8,2,8,0.7500,0.2500,2,2,1.0000,,97.304,94.0481,2.09672,71.397,3.80719,1.75973,2.04746,3.13632,15.0630,0.388202,2.74812,0.1852,1.1111,1.2963,1.0370,0.6296,0.0741,4.9630,Wing G,13.6503,2001-05-16,2026
Micah Thomas,Northwestern St.,Slnd,30,76.4,103.2,30.2,47.1,54.3,1.2,6.6,22.5,16.1,129,140,0.921,116,266,0.436,46,127,0.362,0.5,1.5,35.6,Sr,6-0,5,2.415,115.115,2.4,2026,70961,"Oklahoma City, OK",,1.17810805,35,80,81,186,0.4375,0.4355,0,0,,,115.665,117.944,1.74012,119.881,-3.83583,-0.292133,-3.5437,-1.06963,30.2031,1.27595,-2.34558,0.3125,1.6562,1.9688,2.6875,0.9062,0.1250,16.7500,Scoring PG,8.4363,2000-10-15,2026
Rashaun Agee,Texas A&M,SEC,32,65.4,121.9,25.1,52,57.69,10.7,25.2,16.7,10.9,135,180,0.75,137,242,0.566,20,79,0.253,3.5,2,56.1,Sr,6-7,12,3.64301,132.473,3.5,2026,71003,"Chicago, IL",,1.79059386,117,191,20,51,0.6126,0.3922,20,21,0.9524,,102.255,95.8768,3.4929,195.55,8.3474,4.29829,4.0491,8.3041,26.7781,5.62212,2.68198,2.6562,6.2188,8.8750,2.4062,0.9688,0.8438,14.6562,PF/C,5.04905,2000-11-02,2026
Tyler Cochran,Rhode Island,A10,32,76.6,106.9,26.4,50.3,54.6,5.3,19.2,13.8,15.4,115,159,0.723,106,211,0.502,55,164,0.335,0.8,5.2,42.4,Sr,6-2,23,2.45985,115.49,3.5,2026,71025,"Bolingbrook, IL",,0.86565094,83,151,23,60,0.5497,0.3833,0,0,,,95.2144,95.1405,4.16758,229.244,4.69247,1.49816,3.19431,6.25477,30.8719,2.51922,3.73555,1.3750,4.8125,6.1875,1.8125,2.6562,0.1875,15.3750,Wing G,9.97259,2000-10-15,2026
Curt Lewis,Southern Miss,SB,33,58.7,108.4,11,51.6,52.06,2.2,8.3,5.3,12.7,11,19,0.579,9,27,0.333,49,133,0.368,1.4,1.6,11.9,Sr,6-5,1,0.119253,93.8109,2.5,2026,71299,"Louisville, KY",,1.22717145,6,14,3,13,0.4286,0.2308,1,1,1.0000,,110.702,113.003,1.74024,115.78,-1.02456,-0.662186,-0.362375,-1.13893,23.2086,-1.17805,0.0391137,0.4571,1.6857,2.1429,0.7714,0.6571,0.2571,5.4000,Wing G,9.73151,2000-10-15,2026
Chase Johnston,High Point,BSth,29,28.9,139.5,14.4,68.6,69.22,1.9,5.4,4.9,6.5,4,4,1,0,4,0,54,114,0.474,0.3,3.1,3.4,Sr,6-3,99,1.41846,125.433,4.4,2026,71441,"Boca Raton, FL",,2.50026671,0,0,0,4,,0.0000,0,0,,,104.279,109.51,1.0649,58.9879,2.86555,4.21985,-1.35431,4.68531,12.6500,4.18523,0.500083,0.2188,0.5312,0.7500,0.4688,0.6875,0.0312,6.1250,Scoring PG,17.6904,2000-10-15,2026
Devan Cambridge,UCF,B12,32,43.3,117.3,15,51.2,55.49,6.6,16.4,7.7,12.1,43,61,0.705,42,68,0.618,15,58,0.259,3.8,1.7,48.4,Sr,6-6,35,1.41765,115.91,4.6,2026,71448,"Nashville, TN",57.2,1.50008890,42,63,0,5,0.6667,0.0000,13,14,0.9286,,108.443,102.999,1.88623,107.628,5.46145,2.54272,2.91873,3.50196,17.4750,1.11397,2.38799,1.0312,2.4688,3.5000,0.8438,0.5312,0.5938,5.3750,Wing F,5.89054,2001-01-30,2026
