season,team,player,off_possessions,def_possessions,unassisted_rim_makes,unassisted_mid_makes,unassisted_3pm,rim_assists,off_fouls_drawn,fta,rim_att,dunks_made,unassisted_rim_makes_100,unassisted_mid_makes_100,unassisted_3pm_100,rim_assists_100,off_fouls_drawn_100,fta_100,rim_att_100,dunks_100
2014,Abilene Christian,Alexsander Milosavljevic,0.0,0.0,12.0,5.0,0.0,0.0,0.0,8.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,Abilene Christian,Austin Cooke,0.0,0.0,15.0,16.0,40.0,0.0,0.0,34.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,Abilene Christian,Chris Blakeley,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,Abilene Christian,Harrison Hawkins,0.0,0.0,15.0,10.0,18.0,0.0,0.0,39.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,Abilene Christian,Jacob Lancaster,0.0,0.0,54.0,22.0,1.0,0.0,0.0,54.0,80.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,Abilene Christian,James Pegues,0.0,0.0,36.0,10.0,1.0,0.0,0.0,50.0,53.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,Abilene Christian,Julian Edmonson,0.0,0.0,27.0,24.0,37.0,0.0,0.0,99.0,66.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,Abilene Christian,Michael Grant,0.0,0.0,33.0,19.0,0.0,0.0,0.0,63.0,57.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,Abilene Christian,Parker Wentz,0.0,0.0,26.0,31.0,64.0,0.0,0.0,84.0,37.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,Abilene Christian,Rafael Farley,0.0,0.0,5.0,6.0,27.0,0.0,0.0,18.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,Abilene Christian,Riley Payne,0.0,0.0,18.0,16.0,0.0,0.0,0.0,44.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
