season,team,player,off_possessions,def_possessions,pbp_games,bart_games,unassisted_rim_makes,unassisted_mid_makes,unassisted_3pm,rim_assists,off_fouls_drawn,fta,rim_att,dunks_made,unassisted_rim_makes_100,unassisted_mid_makes_100,unassisted_3pm_100,rim_assists_100,off_fouls_drawn_100,fta_100,rim_att_100,dunks_100
2026,AK-Anchorage,Akok Machar,67.0,67.0,1.0,,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.493,0.0,0.0,0.0,0.0,0.0,4.478,0.0
2026,AK-Anchorage,Bishop Tosi,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,AK-Anchorage,Cole Johnson,66.0,66.0,1.0,,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.515,0.0,0.0,0.0,1.515,0.0
2026,AK-Anchorage,Elijah Mobley,0.0,0.0,0.0,,1.0,0.0,1.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,AK-Anchorage,Hasaan Herrington,63.0,64.0,1.0,,1.0,5.0,0.0,1.0,0.0,4.0,2.0,0.0,1.587,7.937,0.0,1.587,0.0,6.349,3.175,0.0
2026,AK-Anchorage,Jeremiah Coleman,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,AK-Anchorage,John McFadden,0.0,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,AK-Anchorage,NA,67.0,67.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,AK-Anchorage,Sylas Williams,65.0,66.0,1.0,,2.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,3.077,3.077,0.0,0.0,0.0,3.077,3.077,0.0
2026,AK-Anchorage,Zach Ibbetson,0.0,0.0,0.0,,1.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,AR-Pine Bluff,Ahmad Johnson,1794.0,1794.0,2.0,26.0,3.0,5.0,0.0,3.0,0.0,2.0,6.0,0.0,0.167,0.279,0.0,0.167,0.0,0.111,0.334,0.0
2026,AR-Pine Bluff,Alex Mirhosseini,2128.0,2116.0,7.0,28.0,8.0,11.0,4.0,13.0,0.0,19.0,15.0,0.0,0.376,0.517,0.188,0.611,0.0,0.893,0.705,0.0
2026,AR-Pine Bluff,Alex Mirhosseini makes 27-foot three point jumper (Trevon Payton assists,28.0,29.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,AR-Pine Bluff,Alex Mirhosseini makes 27-foot three point jumper (Trevon Payton assists),28.0,29.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,AR-Pine Bluff,Alex Mirhosseini makes free throw 1 of 2,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,AR-Pine Bluff,Alex Mirhosseini makes layup,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,AR-Pine Bluff,Alex Mirhosseini makes layup (Anthony Sellars assists),0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,AR-Pine Bluff,Alex Mirhosseini makes layup (Dennis Asoro assists),0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,AR-Pine Bluff,Alex Mirhosseini misses free throw 2 of 2,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,AR-Pine Bluff,Anthony Sellars,0.0,0.0,0.0,13.0,0.0,3.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,AR-Pine Bluff,Anthony Sellars makes 2-foot dunk (Ahmad Johnson assists),0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,AR-Pine Bluff,Anthony Sellars makes layup (Quion Williams assists),0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,AR-Pine Bluff,Arkansas-Pine Bluff,147.0,147.0,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,AR-Pine Bluff,Dennis Asoro,2160.0,2187.0,1.0,27.0,0.0,2.0,0.0,1.0,0.0,7.0,4.0,1.0,0.0,0.093,0.0,0.046,0.0,0.324,0.185,0.046
2026,AR-Pine Bluff,Dennis Asoro misses layup,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,AR-Pine Bluff,Jai'chaunn Hayes,0.0,0.0,0.0,,2.0,11.0,0.0,1.0,0.0,13.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,AR-Pine Bluff,Jai'chaunn Hayes makes 1-foot dunk (Alex Mirhosseini assists),0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,AR-Pine Bluff,Jai'chaunn Hayes makes layup,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,AR-Pine Bluff,Jai'chaunn Hayes makes layup (Quion Williams assists),0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,AR-Pine Bluff,Jai'chaunn Hayes makes layup (Trevon Payton assists),0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,AR-Pine Bluff,Jaichaunn Hayes,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
