Rimfluence Rank,year,Player name,team,height_inches,class,possessions,Opp Net Rating,O Rimfluence,D Rimfluence,Rimfluence
1,2024,Donovan Clingan,UConn,86,So,2696.0,11.240399999999994,12.303674602212304,24.991701605420833,37.29537620763314
2,2024,Zach Edey,Purdue,88,Sr,3635.0,14.8378,14.017752860842318,19.774040025881433,33.791792886723755
3,2024,N'Faly Dante,Oregon,83,Sr,1933.0,13.6798,15.310075480340148,14.856107902266478,30.166183382606626
4,2024,Tyler Wahl,Wisconsin,81,Sr,2874.0,13.477499999999992,9.482660370676676,19.142702322581172,28.62536269325785
5,2024,Amari Williams,Drexel,84,Sr,3844.0,-2.219300000000004,13.82955421214931,13.056769198443618,26.88632341059293
6,2024,Oso Ighodaro,Marquette,81,Sr,3406.0,12.8609,6.6764382800255655,20.09741758494451,26.773855864970074
7,2024,PJ Hall,Clemson,82,Sr,2384.0,11.285200000000003,10.696094699378866,14.251660972237197,24.947755671616065
8,2024,Dain Dainja,Illinois,81,Jr,1208.0,7.27239999999999,9.32455419408436,15.026284299483605,24.350838493567963
9,2024,Harlan Obioha,Niagara,84,So,4940.0,-7.945999999999998,6.011347033376074,18.237801542645403,24.249148576021476
10,2024,Chase Ross,Marquette,76,So,1986.0,13.224800000000002,8.44063408488924,15.7801592054161,24.22079329030534
11,2024,Oumar Ballo,Arizona,84,Sr,3090.0,11.5295,5.465238664626044,18.36823109696242,23.83346976158846
12,2024,Keba Keita,Utah,80,So,1744.0,8.574600000000004,11.023561147246944,12.700688311126685,23.724249458373627
13,2024,Shemarri Allen,UCF,76,Sr,2399.0,7.540499999999994,8.471691334963372,14.79068052802244,23.262371862985812
14,2024,Quinten Post,Boston College,84,Sr,3276.0,8.0,12.15644673115375,11.033434620994273,23.18988135214802
15,2024,Curtis Williams,Pepperdine,78,Fr,780.0,10.179000000000002,15.784829481880278,7.0327155337653835,22.817545015645663
16,2024,Tae Davis,Notre Dame,81,So,4807.0,8.331699999999998,15.24504029865908,7.333364772944662,22.578405071603743
17,2024,Pharrel Payne,Minnesota,81,So,2561.0,9.925200000000004,6.973938365112472,15.581824370064774,22.555762735177247
18,2024,Andrew Carr,Wake Forest,83,Sr,9085.0,8.607700000000008,7.792866332242333,14.657636421424344,22.450502753666676
19,2024,KC Ibekwe,Oregon State,82,So,3255.0,7.695800000000005,5.814019436334034,16.623835068628047,22.437854504962083
20,2024,Donta Scott,Maryland,80,Sr,5759.0,9.527899999999988,6.72923313621459,15.585932183513616,22.315165319728205
21,2024,David N'Guessan,Kansas State,81,Sr,5140.0,10.093699999999998,3.5950884188743784,18.61007928462456,22.20516770349894
22,2024,Logan Imes,Notre Dame,76,Fr,3227.0,10.8677,12.315725992888794,9.80210304295646,22.117829035845254
23,2024,Aubin Gateretse,Stetson,83,Jr,2737.0,-2.9838000000000022,3.2983810878092843,18.77955641477376,22.07793750258304
24,2024,Frankie Collins,Arizona State,74,Jr,8605.0,9.745100000000008,9.812729909279518,12.181350406395552,21.99408031567507
25,2024,Bensley Joseph,Miami,74,Jr,6452.0,8.114900000000006,8.525376866423684,13.409307928213154,21.934684794636837
26,2024,Fardaws Aimaq,California,83,Sr,5809.0,8.248800000000003,7.467080541585641,14.424424822329932,21.891505363915577
27,2024,Collin Murray-Boyles,South Carolina,80,Fr,1692.0,11.651700000000003,12.228809534840163,9.630059644831466,21.85886917967163
28,2024,Nate Tshimanga,Utah Valley,82,Jr,2720.0,0.8179999999999978,10.004299330959842,11.47504940537147,21.47934873633131
29,2024,Shakeel Moore,Mississippi State,73,Sr,4434.0,11.980800000000002,9.873224187803377,11.605780245684,21.479004433487376
30,2024,Ryan Kalkbrenner,Creighton,85,Sr,3558.0,12.434399999999997,-2.391184641379599,23.67801104371214,21.28682640233254
31,2024,Jalen Thomas,Tarleton State,82,Sr,109.0,9.869599999999991,12.18955760453282,9.057936429712548,21.247494034245367
32,2024,Tafara Gapare,Georgia Tech,81,So,5443.0,10.067799999999991,6.651782526858222,14.369244288618084,21.021026815476304
33,2024,Andre Screen,Butler,85,Sr,1201.0,11.005200000000002,9.72083190917259,11.013794146616991,20.734626055789583
34,2024,Drew Cisse,Western Illinois,83,Jr,5344.0,-7.524699999999996,6.043314447208429,14.641258250033443,20.684572697241876
35,2024,Motiejus Krivas,Arizona,86,Fr,1453.0,8.1734,1.9790144085986148,18.667651490446165,20.64666589904478
36,2024,Jalen Warley,Florida State,79,Jr,4997.0,10.752899999999997,12.48145770524016,8.103429466703254,20.584887171943414
37,2024,Austin Williams,Rutgers,76,Sr,2497.0,12.239400000000003,9.297716077409309,11.067657594956,20.36537367236531
38,2024,Jordan Geronimo,Maryland,78,Sr,4312.0,7.887,7.150636600205154,13.159355886365187,20.309992486570344
39,2024,Solomon Washington,Texas A&M,79,So,2259.0,11.7179,6.529154456243086,13.725061167035188,20.254215623278274
40,2024,Julian Roper II,Notre Dame,76,Jr,4233.0,8.446399999999997,11.13081961246068,9.112970148091584,20.243789760552264
41,2024,Hamed Olayinka,Utah Tech,81,So,3969.0,-0.2330000000000041,7.146998102915848,13.08962025389234,20.236618356808187
42,2024,Hassan Diarra,UConn,74,Sr,2986.0,10.587500000000006,7.886412008318847,12.323449608603852,20.209861616922694
43,2024,Jesus Carralero Martin,Missouri,79,Sr,1941.0,11.382900000000006,5.680074737360104,14.385911664325912,20.065986401686015
44,2024,Moussa Cisse,Ole Miss,84,Sr,2775.0,12.682299999999998,7.174873042852445,12.841169191184507,20.016042234036952
45,2024,Casey Morsell,NC State,75,Sr,5482.0,10.5111,8.365077437282741,11.615410164942467,19.98048760222521
46,2024,Kyshawn George,Miami,80,Fr,4598.0,8.857600000000005,3.494232883128646,16.45486992590161,19.949102809030254
47,2024,Isaac Johnson,Utah State,84,So,1539.0,8.082000000000008,5.700642214187864,14.183053294296936,19.8836955084848
48,2024,Jesse Edwards,West Virginia,83,Sr,3933.0,9.957300000000004,2.6193747146863964,17.236064586775846,19.855439301462244
49,2024,Lawson Lovering,Utah,85,Jr,1905.0,9.5813,5.9878934935839245,13.815596867160568,19.803490360744497
