Rimfluence Rank,year,Player name,team,height_inches,class,possessions,O Rimfluence,D Rimfluence,Rimfluence
1,2026,Amir Jenkins,West Virginia,74,Fr,1347.0,17.73389370698647,22.365054235322958,40.09894794230943
2,2026,Flory Bidunga,Kansas,81,So,2603.0,17.89034923849358,16.336146529988078,34.226495768481655
3,2026,Sebastian Williams-Adams,Auburn,80,Fr,2309.0,14.332460918168055,18.21141443965893,32.543875357826984
4,2026,Aiden Sherrell,Alabama,82,So,2048.0,8.14840776489753,20.529871497889012,28.678279262786543
5,2026,Rob Dockery,La Salle,78,So,2005.0,16.248588352035746,11.812127950559404,28.06071630259515
6,2026,Aday Mara,Michigan,87,Jr,2005.0,7.768206068330983,20.08673674592833,27.854942814259314
7,2026,Sananda Fru,Louisville,83,Jr,1841.0,15.369977649016874,10.950131762655083,26.320109411671957
8,2026,Elyjah Freeman,Auburn,80,So,2097.0,12.002184210725432,13.568422870471226,25.570607081196655
9,2026,Austin Rapp,Wisconsin,82,So,1446.0,11.47886546573197,12.863716312019754,24.342581777751725
10,2026,Nolan Winter,Wisconsin,84,Jr,2574.0,8.714500769631147,15.205717473807498,23.920218243438647
11,2026,Kalifa Sakho,Houston,83,Sr,848.0,11.278951197970224,12.558229881690078,23.837181079660304
12,2026,JT Toppin,Texas Tech,81,Jr,2714.0,2.9196122332876624,20.87957340778496,23.799185641072622
13,2026,Bryson Tiller,Kansas,82,Fr,2227.0,10.386394683341656,13.06019141910678,23.446586102448435
14,2026,Tre Carroll,Xavier,79,Sr,2927.0,12.127961711366545,11.295840213362355,23.4238019247289
15,2026,Jasper Floyd,West Virginia,75,Sr,2563.0,13.393374169871421,9.81642095261847,23.209795122489894
16,2026,Nick Pringle,Arkansas,82,Sr,1716.0,6.301891923513279,16.842775184438743,23.14466710795202
17,2026,Zvonimir Ivisic,Illinois,86,Jr,1438.0,8.188734759890469,14.909787646753882,23.09852240664435
18,2026,Percy Daniels,Tulane,81,Sr,1284.0,11.954959084493783,11.11284523775564,23.067804322249422
19,2026,RJ Godfrey,Clemson,80,Sr,2474.0,12.726436210173972,9.991725193310412,22.718161403484384
20,2026,Matas Vokietaitis,Texas,84,So,2112.0,10.474534868264609,11.840534192493637,22.315069060758248
21,2026,Emmanuel Ogbole,Rutgers,82,Sr,1486.0,1.9668359937747801,20.101331930627737,22.068167924402516
22,2026,Tre Singleton,Northwestern,80,Fr,1915.0,10.847589818873853,11.023076452701936,21.87066627157579
23,2026,Dan Skillings Jr.,Baylor,78,Sr,1852.0,14.898902251766785,6.388505411641575,21.28740766340836
24,2026,Frank Mitchell,St. Bonaventure,80,Sr,2965.0,15.35717075262969,5.6781531518232775,21.035323904452966
25,2026,C.J. Cox,Purdue,75,So,1980.0,8.609505620838503,12.394923531106144,21.00442915194465
26,2026,Mohamed Wague,Oklahoma,82,Sr,1583.0,10.314797276797158,10.634476039934416,20.949273316731574
27,2026,Oscar Cluff,Purdue,83,Sr,1918.0,11.076181825428613,9.634467846684723,20.710649672113334
28,2026,Michael Rataj,Baylor,80,Sr,2118.0,13.372902224206847,7.3055549738202075,20.678457198027054
29,2026,Pharrel Payne,Maryland,81,Sr,887.0,15.660181282588962,4.74335579941633,20.403537082005293
30,2026,Andre Mills,Maryland,76,So,2129.0,13.293262786877898,7.052053132861866,20.345315919739765
31,2026,Jamari McDowell,Kansas,76,Jr,1531.0,11.880852853104857,8.372976150516484,20.25382900362134
32,2026,Christian Anderson,Texas Tech,75,So,2901.0,12.492316558036896,7.644576335348861,20.136892893385756
33,2026,Keyshawn Hall,Auburn,79,Sr,2574.0,2.829144007872845,17.107514607066232,19.936658614939077
34,2026,Treysen Eaglestaff,West Virginia,78,Sr,2652.0,9.626964135112996,10.183492319545937,19.810456454658933
35,2026,Jamichael Stillwell,UCF,80,Sr,2048.0,6.890897189904868,12.811154817585093,19.70205200748996
36,2026,Caden Powell,Baylor,81,Sr,2005.0,10.56378593811963,8.849926383549239,19.413712321668868
37,2026,Darrion Williams,NC State,78,Sr,2273.0,3.7172417704704204,15.691318175427721,19.40855994589814
38,2026,Quadir Copeland,NC State,78,Sr,2281.0,6.215795098007824,13.163788696342486,19.37958379435031
39,2026,Tre'Von Spillers,Wake Forest,79,Sr,2437.0,4.5948485313185765,14.745591037558194,19.34043956887677
40,2026,Andrew Rohde,Wisconsin,78,Sr,1941.0,11.533829797329432,7.739401961503386,19.273231758832818
41,2026,Jamier Jones,Providence,78,Fr,1899.0,13.769098701964465,5.3385083135498315,19.107607015514297
42,2026,BJ Kolly,UC Riverside,82,Sr,1999.0,8.048584290931286,10.966931664581608,19.015515955512896
43,2026,Sam Alexis,Indiana,81,Sr,1473.0,7.609401208339886,11.367537612328906,18.976938820668792
44,2026,Cameron Boozer,Duke,81,Fr,2754.0,10.565282387316438,8.40545739614945,18.970739783465888
45,2026,Yaxel Lendeborg,Michigan,81,Sr,2501.0,10.343786881013923,8.597447848225377,18.941234729239298
46,2026,Kobe Knox,South Carolina,77,Sr,2409.0,8.722051876168141,10.196434971400844,18.918486847568985
47,2026,Jaden Henley,Grand Canyon,79,Sr,2301.0,13.437477439640771,5.395374396584239,18.83285183622501
48,2026,Brenton Knapper,Santa Clara,72,Sr,1905.0,11.065257178284195,7.708057084958165,18.773314263242362
49,2026,Joseph Tugler,Houston,80,Jr,1683.0,5.729166415427879,12.954978338867232,18.68414475429511
50,2026,Malique Ewin,Arkansas,82,Sr,1582.0,11.548995227562912,7.111068593073127,18.66006382063604
51,2026,Tyler Ringgold,Tulane,80,So,1996.0,10.85839679021545,7.691188280041898,18.549585070257347
52,2026,Aidan Cammann,Stanford,82,So,1726.0,5.423078624196053,13.121508524837356,18.54458714903341
53,2026,Nate Bittle,Oregon,84,Sr,1748.0,3.454266528234285,15.061070847910896,18.51533737614518
54,2026,Edwin Daniel,La Salle,81,Jr,1149.0,9.799042837785464,8.628973826126781,18.428016663912246
55,2026,Malachi Palmer,Villanova,78,So,1352.0,8.714801887096062,9.680954020902242,18.395755907998304
56,2026,Billy Richmond III,Arkansas,78,So,2079.0,9.576972130008095,8.774567812534352,18.351539942542445
57,2026,Khani Rooths,Louisville,82,So,1254.0,9.170978906767793,9.15161629631471,18.322595203082503
58,2026,Henri Veesaar,North Carolina,84,Jr,2209.0,9.34272307954231,8.928458630610612,18.271181710152923
59,2026,Wei Lin,Oregon,76,So,1369.0,11.748861945879119,6.507564080364732,18.25642602624385
60,2026,Efeosa Oliogu-Elabor,Butler,78,Fr,952.0,9.541967977372016,8.5626448158158,18.104612793187815
61,2026,Takai Simpkins,Oregon,76,Sr,2386.0,11.697646219487673,6.3333820808645145,18.031028300352187
