Year,Pick,Class,DD Age,Height,Player,Team,Conference,Role,All-Rookie,All-Defense,All-NBA,RAPM,O SOS,D SOS,NET SOS,O Possessions,D Possessions,Games Played,Min%,PRPG!,D-PRPG,BPM,OBPM,DBPM,ORtg,D-Rtg,NetRtg,eFG,TS,OR,DR,Usg,Ast,Ast/Usg,TO,TOV/Usg,A:U x TO:U,A/TO,Blk,Stl,STOCK%,FC/40,Dunk FGM,Dunk FGA,Dunk%,Dunk Freq,Dunk Ast'd  %,Rim FGM,Rim FGA,Rim%,Rim Freq,rim diff vs T100,Rim Ast'd %,Far2 FGM,Far2 FGA,Far2%,Far2 Freq,Far2 Ast'd %,FTM,FTA,FT%,FTR,2PT FGM,2PT FGA,2PT%,2PT Freq,3PR,3P/100,3PT FGM,3PT FGA,3PT%,Three Ast'd %,TOT FGA,Total Ast'd %,Moreyball,FTA/100,Dunks/100,Rim Attmepts/100,Far 2 Attempts/100,Unassited Rim Makes/100,Unassited Far 2 Makes/100,Unassited 3 Makes/100,Unassited Points/100,Rim:NonRim,vs T100,Games Played vs T100,Min% vs T100,PRPG! vs T100,D-PRPG vs T100,BPM vs T100,OBPM vs T100,DBPM vs T100,ORtg vs T100,D-Rtg vs T100,NetRtg vs T100,eFG vs T100,TS vs T100,OR vs T100,DR vs T100,Usg vs T100,Ast vs T100,Ast/Usg vs T100,TO vs T100,A/TO vs T100,Blk vs T100,Stl vs T100,FTR vs T100,FC/40 vs T100,Dunk FGM vs T100,Dunk FGA vs T100,Dunk% vs T100,Dunk Freq vs T100,Rim FGM vs T100,Rim FGA vs T100,Rim% vs T100,Rim Freq vs T100,Far2 FGM vs T100,Far2 FGA vs T100,Far2% vs T100,Far2 Freq vs T100,FTM vs T100,FTA vs T100,FT% vs T100,2PT FGM vs T100,2PT FGA vs T100,2PT% vs T100,2PT Freq vs T100,3PR vs T100,3P/100 vs T100,3PT FGM vs T100,3PT FGA vs T100,3PT% vs T100,Total FGA vs T100,COMBINE,POSITION,HEIGHT_WO_SHOES,HEIGHT_WO_SHOES_FT_IN,HEIGHT_W_SHOES,HEIGHT_W_SHOES_FT_IN,WEIGHT,WINGSPAN,WINGSPAN_FT_IN,STANDING_REACH,STANDING_REACH_FT_IN,BODY_FAT_PCT,HAND_LENGTH,HAND_WIDTH,BENCH_PRESS,STANDING_VERTICAL_LEAP,MAX_VERTICAL_LEAP,LANE_AGILITY_TIME,THREE_QUARTER_SPRINT,MODIFIED_LANE_AGILITY_TIME,BMI,PLAYTYPE,off_style_rim_attack,Rim Attack Vol,Rim Attack PPP,_off_style_attack_kick,Attack & Kick Vol,Attack & Kick PPP,pctile_off_style_perimeter_sniper,Ast 3 Vol,Ast 3 PPP,off_style_dribble_jumper_pct,OTD 3 Vol,OTD 3 PPP,off_style_mid_range_pct,Mid Range Vol,Mid Range PPP,pctile_off_style_hits_cutter_pct,Hits Cutter Vol,Hits Cutter PPP,pctile_off_style_perimeter_cut_pct,Perimeter Cutter Vol,Perimeter Cutter PPP,pctile_off_style_pnr_passer_pct,PNR Passer Vol,PNR Passer PPP,pctile_off_style_big_cut_roll_pct,PnR Roller Vol,PnR Roller PPP,pctile_off_style_post_up_pct,Post Up Vol,Post Up PPP,pctile_off_style_post_kick_pct,Inside Out Vol,Inside Out PPP,pctile_off_style_pick_pop_pct,Pick & Pop Vol,Pick & Pop PPP,pctile_off_style_high_low_pct,High Low Vol,High Low PPP,pctile_off_style_reb_scramble_pct,Reb & Scramble Vol,Reb & Scramble PPP,transition_pct,Transition Vol,Transition PPP,pctile_off_style_rim_attack_pct,Rim Attack Vol%,Rim Attack PPP%,pctile_off_style_attack_kick_pct,Attack & Kick Vol%,Attack & Kick PPP%,pctile_off_style_perimeter_sniper_pct,Ast 3 Vol%,Ast 3 PPP%,pctile_off_style_dribble_jumper_pct,OTD 3 Vol%,OTD 3 PPP%,pctile_off_style_mid_range_pct,Mid Range Vol%,Mid Range PPP%,pctile_off_style_hits_cutter_pct.1,Hits Cutter Vol%,Hits Cutter PPP%,pctile_off_style_perimeter_cut_pct.1,Perimeter Cutter Vol%,Perimeter Cutter PPP%,pctile_off_style_pnr_passer_pct.1,PNR Passer Vol%,PNR Passer PPP %,pctile_off_style_big_cut_roll_pct.1,PnR Roller Vol%,PnR Roller PPP%,pctile_off_style_post_up_pct.1,Post Up Vol%,Post Up PPP%,pctile_off_style_post_kick_pct.1,Inside Out Vol%,Inside Out PPP%,pctile_off_style_pick_pop_pct.1,Pick & Pop Vol%,Pick & Pop PPP%,pctile_off_style_high_low_pct.1,High Low Vol%,High Low PPP%,pctile_off_style_reb_scramble_pct.1,Reb & Scramble Vol%,Reb & Scramble PPP%,transition_pct.1,Transition Vol%,Transition PPP%,DOB,stops,pfr,adrtg,adjoe,Hometown,rec_rank,adjusted pace,mp
2018,60,So,22.6945,77,Sam Merrill,Utah St.,MWC,Combo G,No,No,No,,,,,,,33,88.5,4.4,3,5.4,4.7,0.6,121.6,105.5,16.1,62.8,65.3,0.7,10.4,20.2,19.3,0.955,15,0.74,0.71,1.7,0.7,1.7,2.4,2.5,0,0,0,0,0,58,92,0.63,0.25,8.70%,24.14,35,76,0.461,0.2,20,70,83,0.843,22.1,93,168,0.554,0.45,0.552,10.2,95,207,0.459,71.58,375,47.34,0.802,,,,,,,,,0.33,,12,90.9,5,3.1,5.3,5.3,0.1,118.3,105.5,12.8,61,63.6,1.1,10.9,21.9,19.1,0.872,14.7,1.6,1,1.2,18,2,0,0,0,0,19,35,0.543,0.23,11,29,0.379,0.19,24,27,0.889,30,64,0.469,0.43,57.3,11.5,41,86,0.477,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1997-10-15,196.831,2.5,105.492,123.426,"Bountiful, UT",14.4,66.7420209,
2019,5,Fr,19.3981,74,Darius Garland,Vanderbilt,SEC,Combo G,No,No,No,,,,,,,5,10.8,2.9,2.4,4.6,3.5,1.1,110.1,104.3,5.8,63.9,65.8,1.6,13.7,26.9,25.7,0.955,23.2,0.86,0.82,0.9,1.5,1.7,3.2,2,0,0,0,0,0,10,16,0.625,0.3,4.20%,20,8,15,0.533,0.28,0,12,16,0.75,29.6,18,31,0.581,0.57,0.426,9.6,11,23,0.478,54.55,54,27.59,0.726,,,,,,,,,0.42,,2,7.3,5.1,3.2,7.3,5.9,1.5,109.7,104.2,5.5,68.8,71.7,1.5,12.9,30.5,25.1,0.823,26.5,0.5,0,1.6,28.1,3.3,0,0,0,0,7,12,0.583,0.38,3,7,0.429,0.22,8,9,0.889,10,19,0.526,0.59,40.6,10.5,8,13,0.615,32,,PG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000-01-26,24.6937,2,104.278,117.376,"Nashville, TN",97.4,,28.5714
2019,11,Fr,19.8389,78,Devin Vassell,Florida St.,ACC,Wing G,No,No,No,,,,,,,33,23.5,1.3,1.5,9.9,5.5,4.3,117.8,89.2,28.6,54.6,56.3,4.3,12.2,19.1,12.1,0.634,10.3,0.54,0.34,1.8,3.4,3,6.4,3.4,6,6,1,0.05,83.33,24,38,0.632,0.32,10.30%,45.83,2,19,0.105,0.16,0,19,28,0.679,23.5,26,57,0.456,0.48,0.521,10.1,26,62,0.419,100,119,71.15,0.841,,,,,,,,,0.47,,22,21.3,0.6,1.3,5.5,2.8,2.7,101.5,91.7,9.8,44.3,46.2,2.7,9.2,17.3,10.3,0.595,9.3,1.8,3.4,1.9,14.3,3.1,3,3,1,0.04,9,17,0.529,0.24,1,14,0.071,0.2,7,10,0.7,10,31,0.323,0.44,55.7,10.5,14,39,0.359,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000-08-23,72.2723,3.4,89.1545,123.003,"Suwanee, GA",60.2,,29.2571
2019,17,Fr,21.0162,79,Trey Murphy III,Rice,CUSA,Stretch 4,No,No,No,,,,,,,30,51.8,2.1,1.3,3.6,4.4,-0.9,121.4,112,9.4,62.9,64.5,3.1,10.8,16.5,7.3,0.442,11.7,0.71,0.31,1,2.5,1.1,3.6,2.7,4,4,1,0.02,50,9,10,0.9,0.05,0.9,22.22,11,28,0.393,0.15,27.27,37,51,0.725,28,20,38,0.526,0.21,0.791,12.7,63,144,0.438,93.65,182,77.11,0.841,,,,,,,,,0.06,,5,39,0.4,0.5,-4.6,-0.5,-4,91.2,120.6,-29.4,56.8,54.4,2.8,9.9,18.3,6.9,0.377,22.8,0.5,1.3,0,18.2,4.6,0,0,0,0,0,0,0,0,2,3,0.667,0.14,1,4,0.25,2,3,0.667,0.14,86.4,13.2,7,19,0.368,22,,SF,79.5,6'7.5'',81.25,6'9.25'',206,84,7'0.0'',105.5,8'9.5'',8.1,8.5,9,,34,38,11.65,3.14,3.32,22.91333412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000-06-18,108.842,2.7,111.963,116.442,"Durham, NC",,,29.5
2019,26,Sr,22.7411,80,Dylan Windler,Belmont,OVC,Stretch 4,No,No,No,,,,,,,32,83.7,5.3,4,10.5,8.8,1.7,126.6,95.2,31.4,64.9,68,6.8,27.2,24.7,13.4,0.543,13.6,0.55,0.3,1.2,1.7,2.4,4.1,2.5,28,28,1,0.06,71.43,113,152,0.743,0.34,6.20%,61.06,24,57,0.421,0.13,20.83,115,135,0.852,30.5,142,215,0.66,0.49,0.515,11.4,97,228,0.425,88.42,443,68.1,0.855,,,,,,,,,0.53,,10,87.7,3.1,4.6,5.5,4.2,1.3,104,91.9,12.1,49.2,53.1,6.5,26.3,22.9,15.8,0.69,14.6,1.5,1.4,2.1,25.6,2.7,8,8,1,0.06,32,47,0.681,0.38,4,16,0.25,0.13,26,32,0.813,36,63,0.571,0.5,49.6,9.4,17,62,0.274,125,,SF,78.25,6' 6.25'',79.5,6' 7.5'',195.8,82,6' 10'',104.5,8' 8.5'',4.6,8.25,9.5,8,29,37.5,10.7,3.3,2.94,22.48015597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1996-09-22,266.556,2.5,95.189,132.684,"Indianapolis, IN",,,21.5405
2019,27,Jr,20.7725,84,Udoka Azubuike,Kansas,B12,C,No,No,No,,,,,,,9,12.6,2.6,3,6.1,3.2,2.8,107.4,86.5,20.9,70.5,64.9,12.6,23.4,28.2,7.1,0.252,19.6,0.7,0.18,0.3,8.6,1.2,9.8,5.7,33,35,0.943,0.45,81.82,49,62,0.79,0.79,-4.30%,67.35,6,16,0.375,0.21,66.67,11,32,0.344,41,55,78,0.705,1,0,0,0,0,0,0,78,67.27,0.79,,,,,,,,,3.88,,5,6.8,1.5,2.4,3.9,0.1,3.8,98.4,84.1,14.3,66.7,60.3,13.1,19.9,27,8.9,0.33,24.1,0.3,10,1.4,48.1,7.6,8,8,1,0.3,15,18,0.833,0.67,3,9,0.333,0.33,4,13,0.308,18,27,0.667,1,0,0,0,0,0,27,,C,82,6'10.00'',83.5,6'11.50'',259.5,91.25,7'7.25'',109,9'1.00'',9.61,9.25,10,,37,41,11.82,3.23,3.61,27.13094884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999-09-17,44.9279,5.7,86.4921,125.142,"Delta, Nigeria",93.6,,33.027
2019,32,Fr,23.6665,76,Jalen Pickett,Siena,MAAC,Pure PG,No,No,No,,,,,,,33,91.2,4.4,3,6.2,4.6,1.5,113.7,105.6,8.1,51.4,54.6,4.4,11.9,28.4,42.5,1.496,15,0.53,0.79,2.8,2.8,3.5,6.3,2.5,4,4,1,0.01,0,65,104,0.625,0.25,-20.80%,7.69,54,130,0.415,0.31,5.56,88,118,0.746,28,119,234,0.509,0.56,0.444,10,65,187,0.348,33.85,421,16.3,0.694,,,,,,,,,0.33,,3,84.2,5.1,0.3,-0.2,2.3,-2.5,115.5,127.2,-11.7,48.3,52.5,5,4.6,27.8,56.6,2.036,17.6,3.3,0,2.4,43.3,4,0,0,0,0,5,6,0.833,0.2,5,11,0.455,0.37,9,13,0.692,10,17,0.588,0.57,43.3,8,3,13,0.231,30,,PG,74,6' 2.00'',,,197.8,79.25,6' 7.25'',98.5,8' 2.50'',,8.5,7.5,,28.5,33,11.91,3.35,3.41,25.39324324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999-10-22,224.282,2.5,105.592,122.203,"Rochester, NY",,,35.4167
2019,33,Fr,21.8731,75,Jason Preston,Ohio,MAC,Combo G,No,No,No,,,,,,,29,70.9,0.7,2.6,-0.8,-1.6,0.7,103.5,104,-0.5,45.6,48.9,2.5,10.7,12.8,21.3,1.664,18.3,1.43,2.38,2.8,0.3,1.4,1.7,1.4,0,0,0,0,0,28,54,0.519,0.34,4.30%,25,29,58,0.5,0.37,51.72,26,33,0.788,20.9,57,112,0.509,0.71,0.291,3,10,46,0.217,80,158,44.78,0.631,,,,,,,,,0.52,,8,68.6,0.3,2.1,-2.6,-2.1,-0.5,92.2,110.1,-17.9,40.4,43.2,3.5,12.4,14.5,19.2,1.324,17.1,2.4,0,1.6,19.2,1.1,0,0,0,0,10,21,0.476,0.4,8,19,0.421,0.37,7,10,0.7,18,40,0.45,0.77,23.1,2.7,2,12,0.167,52,,PG,75,6'3.0'',76,6'4.0'',180.6,80.5,6'8.5'',100.5,8'4.5'',5.45,8.5,9.25,,30.5,38.5,10.82,3.13,3.08,22.57098667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999-08-10,141.262,1.4,103.997,94.0595,"Orlando, FL",,,29.5667
2019,36,Sr,23.7267,79,Cody Martin,Nevada,MWC,Scoring PG,No,No,No,,,,,,,34,86.1,3.6,4.2,6.1,3.1,3,119,94,25,56.4,59.6,3,11.1,18.4,25.6,1.391,16.7,0.91,1.27,2.6,2.3,2.2,4.5,2.9,14,15,0.933,0.05,28.57,73,102,0.716,0.34,4.00%,28.77,44,101,0.436,0.34,31.82,74,97,0.763,32.6,117,203,0.576,0.68,0.319,4.5,34,95,0.358,67.65,298,38.41,0.659,,,,,,,,,0.52,,10,92.5,4.2,4.9,7.1,3.3,3.9,118.2,91.4,26.8,51.6,57.8,3.5,9.8,18,20.9,1.161,13.8,2.4,2.1,2.6,34.4,2.9,4,5,0.8,0.05,23,34,0.676,0.35,16,37,0.432,0.39,30,33,0.909,39,71,0.549,0.74,26,3.9,7,25,0.28,96,,PG-SG,76.75,6' 4.75'',77.5,6' 5.5'',192.2,82.25,6' 10.25'',102.5,8' 6.5'',5,8.25,9,7,28,35.5,10.44,3.32,2.99,22.93780942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1995-09-28,231.781,2.9,93.9719,117.562,"Mouth Of Wilson, VA",85.6,,8.2581
2019,37,Fr,23.0231,80,Hunter Tyson,Clemson,ACC,Stretch 4,No,No,No,,,,,,,31,18.8,-0.2,1,-1,-2.1,1.1,85,95,-10,34.1,36.4,2.9,11.6,14.1,8.5,0.603,9.8,0.7,0.42,2,3.8,0.5,4.3,2.8,1,1,1,0.02,100,4,10,0.4,0.16,-60.00%,25,1,6,0.167,0.1,0,6,9,0.667,14.3,5,16,0.313,0.25,0.746,10.9,11,47,0.234,100,63,75,0.906,,,,,,,,,0.19,,20,18.9,0.1,0.9,-0.1,-0.8,0.7,93.8,97.6,-3.8,40.5,40.5,1.4,9.4,11.8,9.7,0.822,6.3,4,0.8,0,0,3,1,1,1,0.03,2,2,1,0.05,1,4,0.25,0.11,0,0,0,3,6,0.5,0.16,83.8,11.5,8,31,0.258,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000-06-13,41.3733,2.8,94.9875,81.8769,"Monroe, NC",49.2,,32.5625
