Rank,Player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,AJ Dybantsa,BYU,2025-26,,33,33,1137,290,561,0.517,45,136,0.331,208,274,0.759,50,224,127,37,12,98,40,833,,6.8,3.8,25.2,,0.557,6.1
2,Darryn Peterson,Kansas,2025-26,,20,19,559,132,289,0.457,53,137,0.387,80,98,0.816,16,84,35,27,10,31,31,397,,4.2,1.8,19.9,,0.548,2.9
3,Cameron Boozer,Duke,2025-26,,31,31,1012,246,422,0.583,46,113,0.407,167,214,0.78,102,315,126,48,17,67,50,705,,10.2,4.1,22.7,,0.637,9
4,Nate Ament,Tennessee,2025-26,,29,29,873,151,365,0.414,38,116,0.328,164,207,0.792,50,186,70,29,14,68,54,504,,6.4,2.4,17.4,,0.466,4.1
5,Caleb Wilson,UNC,2025-26,,24,24,751,170,294,0.578,7,27,0.259,129,181,0.713,68,226,64,36,33,47,46,476,,9.4,2.7,19.8,,0.59,4.8
6,Chris Cenac,Houston,2025-26,,31,30,767,121,247,0.49,25,78,0.321,23,39,0.59,67,229,26,23,14,29,72,290,,7.4,0.8,9.4,,0.54,3.5
7,Mikel Brown Jr,Louisville,2025-26,,21,19,613,112,273,0.41,55,160,0.344,103,122,0.844,1,70,99,26,3,65,33,382,,3.3,4.7,18.2,,0.511,2.7
8,Koa Peat,Arizona,2025-26,,28,28,762,154,281,0.548,6,19,0.316,71,118,0.602,54,149,76,20,21,45,60,385,,5.3,2.7,13.8,,0.559,3.6
9,Brayden Burries,Arizona,2025-26,,31,31,917,171,344,0.497,50,135,0.37,105,133,0.789,18,154,82,50,6,42,67,497,,5,2.6,16,,0.57,5.2
10,Darius Acuff Jr,Arkansas,2025-26,,30,30,1041,233,473,0.493,73,167,0.437,127,160,0.794,14,91,193,23,11,60,48,666,,3,6.4,22.2,,0.57,5.1
11,Tounde Yessoufou,Baylor,2025-26,,32,32,1036,213,454,0.469,52,172,0.302,93,125,0.744,77,187,52,65,17,60,73,571,,5.8,1.6,17.8,,0.526,3.9
12,Meleek Thomas,Arkansas,2025-26,,31,15,913,168,391,0.43,70,168,0.417,72,86,0.837,29,120,75,47,6,27,65,478,,3.9,2.4,15.4,,0.519,3.5
