season,player_name,team,pid,listed_height_raw,listed_height,listed_height_inches,predicted_profile_height_inches,predicted_profile_height,height_delta_inches,height_profile_label,predicted_big_profile_height_inches,predicted_big_profile_height,big_height_delta_inches,big_height_profile_label
2021,Isaiah Felder,South Carolina St.,39014,6-0,"6'0""",72.0,74.7,"6'3""",2.7,plays_taller,74.7,"6'3""",2.7,plays_taller
2021,Thomas Bruce,Binghamton,39412,6-9,"6'9""",81.0,81.56,"6'10""",0.56,plays_at_height,81.56,"6'10""",0.56,plays_at_height
2021,Jalen Coleman-Lands,Iowa St.,40204,6-4,"6'4""",76.0,74.94,"6'3""",-1.06,plays_shorter,74.94,"6'3""",-1.06,plays_shorter
2021,K.J. Walton,Ball St.,41728,6-3,"6'3""",75.0,78.26,"6'6""",3.26,plays_taller,78.26,"6'6""",3.26,plays_taller
2021,Hank Hollingsworth,Cal Poly,42124,6-10,"6'10""",82.0,78.53,"6'7""",-3.47,plays_shorter,78.53,"6'7""",-3.47,plays_shorter
2021,Traci Carter,Hartford,42956,6-1,"6'1""",73.0,75.2,"6'3""",2.2,plays_taller,75.2,"6'3""",2.2,plays_taller
2021,Isiah Brown,Weber St.,44211,6-2,"6'2""",74.0,75.48,"6'3""",1.48,plays_taller,75.48,"6'3""",1.48,plays_taller
2021,Jordy Tshimanga,Dayton,44214,6-11,"6'11""",83.0,81.68,"6'10""",-1.32,plays_shorter,81.68,"6'10""",-1.32,plays_shorter
2021,Jeriah Horne,Colorado,44216,6-7,"6'7""",79.0,78.12,"6'6""",-0.88,plays_shorter,78.12,"6'6""",-0.88,plays_shorter
2021,Eric Curry,Minnesota,44217,6-9,"6'9""",81.0,77.17,"6'5""",-3.83,plays_shorter,77.17,"6'5""",-3.83,plays_shorter
2021,Austin Davis,Michigan,44219,6-10,"6'10""",82.0,79.72,"6'8""",-2.28,plays_shorter,79.72,"6'8""",-2.28,plays_shorter
2021,James Butler,Drexel,44288,6-8,"6'8""",80.0,81.13,"6'9""",1.13,plays_taller,81.13,"6'9""",1.13,plays_taller
2021,Marlin Davis,Texas St.,44325,6-2,"6'2""",74.0,75.13,"6'3""",1.13,plays_taller,75.13,"6'3""",1.13,plays_taller
2021,Ivan Madunic,Southern Utah,44335,6-11,"6'11""",83.0,79.19,"6'7""",-3.81,plays_shorter,79.19,"6'7""",-3.81,plays_shorter
2021,Jailyn Ingram,Florida Atlantic,44344,6-7,"6'7""",79.0,78.2,"6'6""",-0.8,plays_shorter,78.2,"6'6""",-0.8,plays_shorter
2021,Ryan Murphy,Duquesne,44345,6-2,"6'2""",74.0,73.87,"6'2""",-0.13,plays_at_height,73.87,"6'2""",-0.13,plays_at_height
2021,D'Mitrik Trice,Wisconsin,44417,6-0,"6'0""",72.0,75.27,"6'3""",3.27,plays_taller,75.27,"6'3""",3.27,plays_taller
2021,Aleem Ford,Wisconsin,44418,6-8,"6'8""",80.0,77.56,"6'6""",-2.44,plays_shorter,77.56,"6'6""",-2.44,plays_shorter
2021,Charlie Moore,DePaul,44420,5-11,"5'11""",71.0,74.86,"6'3""",3.86,plays_taller,74.86,"6'3""",3.86,plays_taller
2021,Ben Shungu,Vermont,44546,6-2,"6'2""",74.0,76.73,"6'5""",2.73,plays_taller,76.73,"6'5""",2.73,plays_taller
