season,player_name,team,conf,position,class,draft_pick,age,listed_height,statistical_height,height_delta_inches,height_delta_percentile,feel_plus,feel_plus_percentile,rimfluence,rimfluence_off,rimfluence_def,rimfluence_percentile,poss_created_100,poss_created_100_percentile,gp,mpg,min_pct
2026,Elijah Elliott,New Mexico St.,CUSA,G,Sr,,26.21,"6'1""","6'3""",2.0,82.62,96.86,48.62,N/A,N/A,N/A,,31.75,96.57,29.0,18.6,46.9
2026,Doctor Bradley,Bethune Cookman,SWAC,F,Sr,,25.21,"6'8""","6'10""",1.6,77.34,144.24,94.62,N/A,N/A,N/A,,34.7,98.69,8.0,22.0,14.0
2026,Rahmir Moore,Delaware St.,MEAC,F,Sr,,25.43,"6'2""","6'5""",2.64,89.05,104.5,59.54,N/A,N/A,N/A,,19.02,50.91,22.0,21.3,43.6
2026,Alex Hemenway,Evansville,MVC,G,Sr,,24.54,"6'4""","6'3""",-1.22,31.48,59.15,5.33,-1.499,1.909,-3.408,46.36,15.09,23.39,30.0,25.9,65.8
2026,Addison Patterson,Eastern Michigan,MAC,F,Sr,,24.56,"6'7""","6'7""",0.1,54.22,84.74,30.08,N/A,N/A,N/A,,25.49,83.55,30.0,29.7,74.8
2026,Rienk Mast,Nebraska,B10,,Sr,,24.45,"6'10""","6'7""",-3.37,8.14,103.78,58.4,8.944,-4.94,13.885,81.84,29.62,94.1,34.0,29.2,70.4
2026,Rick Issanza,Loyola Marymount,WCC,C,Sr,,25.21,"7'1""","6'10""",-2.54,15.31,99.53,52.88,N/A,N/A,N/A,,8.88,1.73,29.0,16.2,37.9
2026,Steele Venters,Gonzaga,WCC,F,Sr,,24.63,"6'7""","6'4""",-2.66,14.15,75.28,18.43,2.64,0.052,2.588,61.85,16.31,31.08,27.0,15.1,28.9
2026,Micah Thomas,Northwestern St.,Slnd,G,Sr,,25.21,"6'0""","6'2""",2.09,83.53,80.01,24.04,N/A,N/A,N/A,,33.21,97.89,30.0,30.2,76.4
2026,Rashaun Agee,Texas A&M,SEC,,Sr,,25.16,"6'7""","6'10""",2.95,91.09,141.94,93.73,9.708,0.542,9.166,83.65,28.21,91.58,34.0,26.8,65.5
2026,Tyler Cochran,Rhode Island,A10,F,Sr,,25.21,"6'2""","6'6""",3.64,95.54,135.32,90.13,-6.582,-1.888,-4.694,27.76,27.16,88.98,32.0,30.9,76.6
2026,Curt Lewis,Southern Miss,SB,F,Sr,,25.21,"6'5""","6'4""",-1.44,28.39,67.92,11.12,1.756,-4.076,5.832,58.19,11.46,6.9,33.0,23.2,58.7
2026,Chase Johnston,High Point,BSth,G,Sr,,25.21,"6'3""","6'3""",0.15,55.16,80.6,24.74,-19.833,-16.773,-3.061,1.73,14.63,20.8,31.0,13.5,31.1
2026,Devan Cambridge,UCF,B12,F,Sr,,24.92,"6'6""","6'8""",1.75,79.66,107.02,62.71,5.162,0.687,4.475,71.05,15.96,28.98,33.0,17.4,43.1
2026,Gianni Hunt,East Texas A&M,Slnd,G,Sr,,25.4,"6'4""","6'4""",-0.2,48.44,128.38,85.47,-4.934,-3.21,-1.725,33.96,28.81,92.88,30.0,31.1,79.9
2026,Morgan Safford,Kent St.,MAC,F,Sr,,24.85,"6'5""","6'6""",0.81,66.4,93.4,43.0,N/A,N/A,N/A,,20.55,60.67,31.0,31.2,75.2
2026,Matt Van Komen,Marshall,SB,C,Sr,,25.21,"7'4""","7'2""",-2.11,19.85,102.68,57.15,5.993,-6.077,12.07,73.89,14.27,18.5,21.0,20.9,36.0
2026,Jordan Brinson,Cal St. Northridge,BW,G,Sr,,26.0,"6'2""","6'3""",0.83,66.69,100.07,53.53,N/A,N/A,N/A,,12.66,11.24,31.0,18.3,44.8
2026,Hosana Kitenge,UC Santa Barbara,BW,F,Sr,,25.04,"6'8""","6'8""",-0.47,43.93,92.38,41.53,2.922,1.971,0.951,63.15,22.41,71.46,30.0,20.7,52.6
2026,Tariq Ingraham,Memphis,Amer,C,Sr,,25.25,"6'9""","6'7""",-2.45,15.96,113.0,70.12,N/A,N/A,N/A,,15.95,28.85,25.0,9.3,18.1
2026,Josh Ogundele,Hampton,CAA,F,Sr,,25.03,"7'0""","6'7""",-5.32,1.32,107.89,63.74,-5.724,-3.887,-1.837,30.6,19.68,55.38,26.0,17.6,38.3
2026,Jahari Long,George Mason,A10,G,Sr,,24.21,"6'5""","6'3""",-1.54,26.8,92.77,42.18,1.239,2.11,-0.871,56.07,24.24,78.88,32.0,33.8,84.6
2026,Javon Cooley,Pepperdine,WCC,F,Sr,,24.21,"6'5""","6'5""",0.34,58.46,84.1,29.13,0.117,0.138,-0.021,52.4,19.02,50.86,30.0,30.1,75.1
2026,Toneari Lane,San Diego,WCC,F,Sr,,24.21,"6'5""","6'2""",-2.86,12.11,68.86,11.91,-10.307,-2.873,-7.435,16.55,17.27,37.89,31.0,26.8,67.1
2026,Trae Broadnax,Rice,Amer,G,Sr,,24.21,"6'4""","6'4""",0.39,59.56,95.36,46.42,2.951,-0.886,3.837,63.56,30.61,95.37,29.0,30.6,77.0
2026,Jeremiah Williams,Georgetown,BE,G,Sr,,24.21,"6'4""","6'4""",-0.04,51.23,104.57,59.62,9.612,8.075,1.536,83.45,25.8,84.82,34.0,20.4,50.3
2026,Keishon Porter,Evansville,MVC,F,Sr,,24.21,"6'5""","6'4""",-0.76,38.87,73.07,16.38,9.113,6.441,2.671,82.1,23.4,75.66,14.0,22.0,26.6
2026,Alec Oglesby,Middle Tennessee,CUSA,G,Sr,,24.3,"6'5""","6'2""",-2.67,14.04,76.89,20.42,N/A,N/A,N/A,,15.33,25.11,28.0,24.1,56.9
