season,player,team,source_conference,class,A10,ACC,AE,AMER,ASUN,B10,B12,BE,BSKY,BSTH,BW,CAA,CUSA,GWC,HORZ,IND,Ivy,MAAC,MAC,MEAC,Mountain West,MVC,NEC,OVC,P10,P12,PAT,SB,SC,SEC,SLND,SUM,SWAC,WAC,WCC
2026,Cade Hornecker,Abilene Christian,WAC,Junior,C-,D+,C+,C-,C+,D+,D+,D+,C+,B-,C+,C+,C,B+,C+,B-,C+,C+,C,B,C-,C,B-,C+,C-,D+,B-,C+,C+,D+,B-,C+,B,C,C-
2026,Cbo Newton,Abilene Christian,WAC,Sophomore,C,C,C+,C,C+,C,C,C,C+,B-,C+,C+,C+,B+,C+,B-,B-,C+,C,B-,C+,C+,C+,C+,C-,C+,C+,C+,C+,C,C+,C+,B-,C+,C+
2026,Christian Alston,Abilene Christian,WAC,Sophomore,D+,D,C,D,C-,D,D,D,C-,C,C-,D+,D+,C+,D+,C,C-,C-,D+,C+,D,D+,C,C-,D,D,C,C-,C-,D,C,D+,C+,D+,D
2026,Isaac Dye,Abilene Christian,WAC,Freshman,D+,D+,C,C-,C-,D+,D+,D+,C,C,C-,C-,C-,C+,D+,C+,C,C-,D+,C,C-,D+,C-,C-,D-,D+,C-,C-,C,D+,C,C-,C+,C-,C-
2026,Joseph Scott,Abilene Christian,WAC,Junior,C-,C-,C,C-,C+,C-,D+,C-,C,C,C,C-,C,C+,C-,C+,C+,C,C-,C+,C,C-,C,C,D,C-,C,C,C,C-,C+,C-,C+,C,C-
2026,Ma'Shy Hill,Abilene Christian,WAC,Junior,D+,D+,C-,D+,C-,D,D+,D+,C-,C-,D+,D+,D+,D,D+,C,C-,C-,D+,C,D+,D+,C-,D+,F,D+,C-,D+,C,D+,C-,D+,C,C-,D+
2026,Yaniel Rivera,Abilene Christian,WAC,Junior,D+,D+,C+,D+,C,D,D,D,C,C+,C,C,C-,A-,C-,B-,C,C,C-,B-,D+,C-,C+,C,C,D,C+,C-,C,D+,C+,C,B-,C-,D+
2026,AJ Patterson,Air Force,MWC,Sophomore,D-,D-,D,D-,D,D-,D-,D-,D,D,D,D,D,D,D-,D+,D,D,D-,D+,D-,D-,D,D,F,D-,D,D-,D,D-,D,D-,D+,D-,D-
2026,Caleb Walker,Air Force,MWC,Junior,D+,D+,C+,D+,C+,D,D,D,C,C+,C,C,C-,B+,C,B-,C,C,C-,B-,D+,D+,C+,C+,C-,D+,C+,C,C,D+,C+,C,B-,C-,D+
2026,Chris Catchings,Air Force,MWC,Freshman,C,C-,C+,C-,C,C-,D+,D+,C,C+,C,C,C-,C+,C-,C+,C+,C,C,C+,C,C-,C,C,D,C-,C,C,C,C-,C,C,C+,C,C-
2026,Eli Robinson,Air Force,MWC,Sophomore,D,D,C-,D,D+,D,D,D-,D+,C-,D+,D+,D+,B,D+,C,C-,D+,D+,C+,D,D,C-,D+,D+,D,C-,D+,D+,D,C,D+,C,D+,D
2026,Ethan Greenberg,Air Force,MWC,Freshman,D,D,D+,D,D+,D-,D-,D-,D+,C-,D+,D+,D+,B-,D+,C,D+,D+,D,C,D,D,C-,D+,D,D,C-,D,D+,D-,C-,D+,C,D,D
2026,Justin Hinds,Air Force,MWC,Freshman,D-,D-,D,D-,D,D-,D-,D-,D,D,D,D,D,D,D,D+,D,D,D,D+,D-,D-,D+,D,D-,D-,D+,D,D+,D-,D+,D,C-,D,D-
2026,Kam Sanders,Air Force,MWC,Freshman,D+,D+,C+,D+,C,D,D,D,C,C+,C-,C,C-,B+,C-,B-,C,C,C-,B-,D+,D+,C+,C,C-,D+,C+,C-,C,D,C+,C-,B-,C-,D+
2026,Kolby Gilles,Air Force,MWC,Junior,D-,D-,D-,D-,D,D-,D-,D-,D-,D,D-,D-,D-,D-,D-,D+,D,D,D-,D,D-,D-,D,D-,F,D-,D,D-,D,D-,D,D-,D,D-,D-
2026,Lucas Hobin,Air Force,MWC,Freshman,D,D,D+,D,D+,D-,D-,D-,D+,D+,D+,D+,D,C+,D,C,D+,D+,D,C-,D,D,D+,D,D,D,D+,D,D+,D-,D+,D,C,D,D
2026,Riley Dering,Air Force,MWC,Freshman,C+,C+,C+,C+,B-,C,C,C,B-,B-,C+,C+,C+,B+,C+,B-,B-,C+,C,B-,C+,C,B-,C+,C-,C+,B-,C+,B-,C,B-,C+,B,C+,C+
2026,Wesley Celichowski,Air Force,MWC,Junior,D,D,D+,D,D+,D-,D-,D-,D+,D+,D,D+,D,C,D,C-,D+,D+,D,C-,D-,D,D+,D,D-,D,D+,D,D+,D-,D+,D,C,D,D-
2026,Eric Mahaffey,Akron,MAC,Sophomore,B+,B-,A,B+,A,B-,B-,B,A,A,A,A-,B+,A+,A,A+,A,A,A-,A+,B+,B+,A,A,B,B,A,A-,A-,B,A,A,A+,A-,B+
2026,Marvin Musiime-Kamali,Akron,MAC,Junior,C+,C+,B-,C+,B-,C+,C,C+,B-,B-,C+,B-,C+,A,C+,B-,B-,B-,C+,B,C+,C+,B-,C+,C,C+,B-,B-,B-,C,B-,B-,B,B-,C+
2026,Sharron Young,Akron,MAC,Sophomore,B-,C+,B+,B-,B,C,C,C,B,B+,B,B,B-,A+,B,B+,B,B,B,A-,B-,B-,B+,B+,B-,C+,B+,B,B,C,B+,B+,A-,B,C+
